"","Sample","Sequ_count_in","Sequ_count_out","percent_merged","median_length"
"1","BA_1_S92","190092","177828","93.55","192.68"
"2","BA_2_S61","80975","75989","93.84","193.56"
"3","BOU_1_S94","140743","131608","93.51","183.5"
"4","BOU_2_S80","105213","98752","93.86","184.46"
"5","CHILDS_1_S11","110368","102032","92.45","193.14"
"6","CHILDS_2_S12","89876","83010","92.36","193.03"
"7","CLR_1_S59","23686","21570","91.07","115.72"
"8","CLR_2_S60","3637","3200","87.98","162.04"
"9","COL_1_S86","87676","80901","92.27","183.89"
"10","COL_2_S81","84408","78168","92.61","144.96"
"11","CR_109_1_S31","89356","84218","94.25","192.75"
"12","CR_109_2_S32","100692","94203","93.56","191.87"
"13","CR_134_1_S33","102986","96873","94.06","193.17"
"14","CR_134_2_S34","83741","77896","93.02","178.94"
"15","CR_143_1_S35","110459","103732","93.91","193.1"
"16","CR_143_2_S36","87449","81807","93.55","188.25"
"17","CR_148_1_S37","90913","85165","93.68","192.41"
"18","CR_148_2_S38","111430","104709","93.97","192.55"
"19","CR_157_1_S39","103480","96860","93.6","192.39"
"20","CR_157_2_S40","104147","97594","93.71","185.7"
"21","CR_180_1_S41","108673","101728","93.61","177.21"
"22","CR_180_2_S42","14730","13774","93.51","182.22"
"23","CR_204_1_S43","114466","107494","93.91","190"
"24","CR_204_2_S44","93936","87604","93.26","183.9"
"25","CR_216_1_S45","0","0","NaN","CR_216_1_S45"
"26","CR_216_2_S46","208068","195156","93.79","182.57"
"27","CR_226_1_S47","96289","89974","93.44","180.31"
"28","CR_226_2_S48","150394","140563","93.46","166.77"
"29","CR_229_1_S49","72463","67646","93.35","185.65"
"30","CR_229_2_S50","124824","115640","92.64","118.51"
"31","CR_246_1_S51","116434","106422","91.4","177.56"
"32","CR_246_2_S52","90517","84257","93.08","150.16"
"33","CR_275_1_S53","88672","82441","92.97","156.73"
"34","CR_275_2_S54","135641","126636","93.36","148.82"
"35","CR_52_1_S23","87033","81566","93.72","193.25"
"36","CR_52_2_S24","100836","94378","93.6","193.05"
"37","CR_61_1_S90","142656","133897","93.86","191.78"
"38","CR_61_2_S25","75818","70840","93.43","193.4"
"39","CR_84_1_S91","170566","159647","93.6","189.78"
"40","CR_84_2_S26","122832","114294","93.05","132.07"
"41","CR_94_1_S27","95297","89476","93.89","192.99"
"42","CR_94_2_S28","157317","147291","93.63","192.67"
"43","CR_97_1_S29","0","0","NaN","CR_97_1_S29"
"44","CR_97_2_S30","112707","105490","93.6","190.25"
"45","DIA_1_S79","111859","104619","93.53","191.79"
"46","DIA_2_S88","88994","83524","93.85","192.47"
"47","FCW_1_S3","114891","107785","93.82","193.4"
"48","FCW_2_S4","100697","94489","93.83","193.36"
"49","HAV_1_S71","80291","74903","93.29","190.45"
"50","HAV_2_S72","163039","151392","92.86","177.88"
"51","HER_1_S93","163538","153627","93.94","183.47"
"52","HER_2_S62","114377","107189","93.72","190.54"
"53","KAN_1_S67","116006","108567","93.59","184.56"
"54","KAN_2_S68","128352","120199","93.65","179.38"
"55","LCR_1_S57","125563","117739","93.77","190.96"
"56","LCR_2_S58","90978","85356","93.82","192.46"
"57","LF_1_S73","135608","125839","92.8","118.72"
"58","LF_2_S74","168893","156474","92.65","93.5"
"59","MAT_1_S69","91913","85788","93.34","191.41"
"60","MAT_2_S70","88999","83436","93.75","191.12"
"61","NANK_1_S55","74675","69800","93.47","192.96"
"62","NANK_2_S56","90794","85042","93.66","193.07"
"63","neg_Control_S89","193900","179071","92.35","40.64"
"64","pos_Control_S87","75155","70363","93.62","193.58"
"65","RM_20_1_S19","86559","80841","93.39","192.61"
"66","RM_20_2_S20","73885","68531","92.75","192.44"
"67","RM_88_1_S21","64729","60630","93.67","193.47"
"68","RM_88_2_S22","100135","93823","93.7","192.28"
"69","SC_1_S13","121077","113284","93.56","193.34"
"70","SC_2_S14","111343","104046","93.45","193.21"
"71","SCGC_1_S75","88680","83070","93.67","191.88"
"72","SCGC_2_S76","101577","95113","93.64","191.79"
"73","SHI_1_S63","107975","101476","93.98","192.89"
"74","SHI_2_S64","111348","103786","93.21","193.4"
"75","SPE_1_S84","92927","87108","93.74","190.96"
"76","SPE_2_S85","121772","114204","93.79","188.59"
"77","TAP_1_S65","77296","72468","93.75","192.79"
"78","TAP_2_S66","79767","74764","93.73","191.02"
"79","TCDW_1_S7","97122","90899","93.59","193.53"
"80","TCDW_2_S8","119542","111768","93.5","193.48"
"81","TRA_1_S82","108678","101729","93.61","183.96"
"82","TRA_2_S83","120038","112397","93.63","183.51"
"83","TS_1_S77","157087","146326","93.15","183.03"
"84","TS_2_S78","108142","100778","93.19","188.07"
"85","Undetermined_S0","779703","640477","82.14","305.4"
"86","VRBF_1_S9","100008","93360","93.35","192.66"
"87","VRBF_2_S10","90824","84643","93.19","192.14"
"88","VRSB_1_S5","121100","113064","93.36","192.98"
"89","VRSB_2_S6","97878","91838","93.83","193.58"
"90","WBC_1_S17","120410","112776","93.66","193.32"
"91","WBC_2_S18","90167","84290","93.48","193.28"
"92","WCC_1_S1","128700","120421","93.57","193.52"
"93","WCC_2_S2","132103","123728","93.66","193.51"
"94","WFOC_1_S15","125140","116969","93.47","192.84"
"95","WFOC_2_S16","117605","109859","93.41","192.57"
