"length","reads","rel","col"
34,2,0.002632,"#ffffb2"
35,1,0.001316,"#ffffb2"
36,1,0.001316,"#ffffb2"
37,7,0.009212,"#ffffb2"
38,3,0.003948,"#ffffb2"
39,2,0.002632,"#ffffb2"
40,1,0.001316,"#ffffb2"
49,1,0.001316,"#ffffb2"
50,3,0.003948,"#ffffb2"
51,2,0.002632,"#ffffb2"
53,1,0.001316,"#ffffb2"
54,2,0.002632,"#ffffb2"
56,1,0.001316,"#ffffb2"
57,1,0.001316,"#ffffb2"
59,1,0.001316,"#ffffb2"
62,1,0.001316,"#ffffb2"
63,1,0.001316,"#ffffb2"
90,1,0.001316,"#ffffb2"
175,1,0.001316,"#ffffb2"
177,1,0.001316,"#ffffb2"
178,1,0.001316,"#ffffb2"
179,2,0.002632,"#ffffb2"
180,2,0.002632,"#ffffb2"
181,1,0.001316,"#ffffb2"
182,1,0.001316,"#ffffb2"
183,1,0.001316,"#ffffb2"
184,2,0.002632,"#ffffb2"
185,5,0.00658,"#ffffb2"
186,9,0.011844,"#fed976"
187,4,0.005264,"#ffffb2"
188,12,0.015792,"#fed976"
189,71,0.093435,"#fed976"
190,353,0.464541,"#feb24c"
191,7037,9.260551,"#fd8d3c"
192,12297,16.182605,"#fc4e2a"
193,15810,20.805643,"#fc4e2a"
194,18304,24.087697,"#fc4e2a"
195,12070,15.883878,"#fc4e2a"
196,6754,8.888129,"#fd8d3c"
197,3184,4.19008,"#fd8d3c"
198,32,0.042111,"#fed976"
199,1,0.001316,"#ffffb2"
217,1,0.001316,"#ffffb2"
221,1,0.001316,"#ffffb2"
