"length","reads","rel","col"
14,1,0.00076,"#ffffb2"
15,1,0.00076,"#ffffb2"
16,1,0.00076,"#ffffb2"
17,1,0.00076,"#ffffb2"
19,1,0.00076,"#ffffb2"
20,2,0.00152,"#ffffb2"
21,2,0.00152,"#ffffb2"
23,1,0.00076,"#ffffb2"
25,2,0.00152,"#ffffb2"
26,6,0.004559,"#ffffb2"
27,4,0.003039,"#ffffb2"
28,2,0.00152,"#ffffb2"
29,6,0.004559,"#ffffb2"
30,14,0.010638,"#fed976"
31,6,0.004559,"#ffffb2"
32,16,0.012157,"#fed976"
33,83,0.063066,"#fed976"
34,631,0.479454,"#feb24c"
35,1195,0.908,"#feb24c"
36,1468,1.115434,"#fd8d3c"
37,1912,1.452799,"#fd8d3c"
38,1513,1.149626,"#fd8d3c"
39,897,0.68157,"#feb24c"
40,437,0.332047,"#feb24c"
41,31,0.023555,"#fed976"
42,5,0.003799,"#ffffb2"
53,1,0.00076,"#ffffb2"
54,1,0.00076,"#ffffb2"
55,1,0.00076,"#ffffb2"
56,2,0.00152,"#ffffb2"
57,3,0.002279,"#ffffb2"
59,1,0.00076,"#ffffb2"
62,1,0.00076,"#ffffb2"
69,4,0.003039,"#ffffb2"
71,2,0.00152,"#ffffb2"
72,4,0.003039,"#ffffb2"
73,1,0.00076,"#ffffb2"
97,1,0.00076,"#ffffb2"
99,2,0.00152,"#ffffb2"
119,1,0.00076,"#ffffb2"
131,1,0.00076,"#ffffb2"
171,1,0.00076,"#ffffb2"
179,1,0.00076,"#ffffb2"
180,1,0.00076,"#ffffb2"
181,3,0.002279,"#ffffb2"
182,4,0.003039,"#ffffb2"
183,4,0.003039,"#ffffb2"
184,7,0.005319,"#ffffb2"
185,3,0.002279,"#ffffb2"
186,19,0.014437,"#fed976"
187,6,0.004559,"#ffffb2"
188,70,0.053188,"#fed976"
189,1335,1.014376,"#fd8d3c"
190,3926,2.983101,"#fd8d3c"
191,13772,10.464409,"#fc4e2a"
192,21881,16.625889,"#fc4e2a"
193,25409,19.306577,"#fc4e2a"
194,26472,20.114279,"#fc4e2a"
195,17280,13.129901,"#fc4e2a"
196,9077,6.896997,"#fd8d3c"
197,3989,3.030971,"#fd8d3c"
198,57,0.04331,"#fed976"
200,1,0.00076,"#ffffb2"
201,1,0.00076,"#ffffb2"
203,1,0.00076,"#ffffb2"
205,1,0.00076,"#ffffb2"
216,1,0.00076,"#ffffb2"
222,3,0.002279,"#ffffb2"
223,2,0.00152,"#ffffb2"
224,4,0.003039,"#ffffb2"
226,1,0.00076,"#ffffb2"
232,1,0.00076,"#ffffb2"
234,1,0.00076,"#ffffb2"
254,1,0.00076,"#ffffb2"
300,1,0.00076,"#ffffb2"
360,1,0.00076,"#ffffb2"
363,1,0.00076,"#ffffb2"
373,1,0.00076,"#ffffb2"
383,1,0.00076,"#ffffb2"
465,1,0.00076,"#ffffb2"
468,1,0.00076,"#ffffb2"
469,1,0.00076,"#ffffb2"
470,1,0.00076,"#ffffb2"
