"length","reads","rel","col"
30,1,0.001205,"#ffffb2"
33,2,0.002409,"#ffffb2"
34,6,0.007228,"#ffffb2"
35,17,0.020479,"#fed976"
36,15,0.01807,"#fed976"
37,22,0.026503,"#fed976"
38,13,0.015661,"#fed976"
39,3,0.003614,"#ffffb2"
40,3,0.003614,"#ffffb2"
41,1,0.001205,"#ffffb2"
53,1,0.001205,"#ffffb2"
57,7,0.008433,"#ffffb2"
58,7,0.008433,"#ffffb2"
59,8,0.009637,"#ffffb2"
60,13,0.015661,"#fed976"
61,11,0.013251,"#fed976"
62,9,0.010842,"#fed976"
63,5,0.006023,"#ffffb2"
79,1,0.001205,"#ffffb2"
91,2,0.002409,"#ffffb2"
92,1,0.001205,"#ffffb2"
93,1,0.001205,"#ffffb2"
96,2,0.002409,"#ffffb2"
123,1,0.001205,"#ffffb2"
153,1,0.001205,"#ffffb2"
173,1,0.001205,"#ffffb2"
174,2,0.002409,"#ffffb2"
178,1,0.001205,"#ffffb2"
180,3,0.003614,"#ffffb2"
181,4,0.004819,"#ffffb2"
182,3,0.003614,"#ffffb2"
183,7,0.008433,"#ffffb2"
184,7,0.008433,"#ffffb2"
185,9,0.010842,"#fed976"
186,4,0.004819,"#ffffb2"
187,8,0.009637,"#ffffb2"
188,22,0.026503,"#fed976"
189,262,0.315625,"#feb24c"
190,3128,3.768221,"#fd8d3c"
191,9777,11.778099,"#fc4e2a"
192,14855,17.895434,"#fc4e2a"
193,18005,21.690158,"#fc4e2a"
194,17408,20.970967,"#fc4e2a"
195,11165,13.450187,"#fc4e2a"
196,6044,7.28105,"#fd8d3c"
197,2086,2.51295,"#fd8d3c"
198,34,0.040959,"#fed976"
199,1,0.001205,"#ffffb2"
204,1,0.001205,"#ffffb2"
234,1,0.001205,"#ffffb2"
242,2,0.002409,"#ffffb2"
289,1,0.001205,"#ffffb2"
293,1,0.001205,"#ffffb2"
296,1,0.001205,"#ffffb2"
308,1,0.001205,"#ffffb2"
371,1,0.001205,"#ffffb2"
386,1,0.001205,"#ffffb2"
387,2,0.002409,"#ffffb2"
389,1,0.001205,"#ffffb2"
390,3,0.003614,"#ffffb2"
391,1,0.001205,"#ffffb2"
400,1,0.001205,"#ffffb2"
456,2,0.002409,"#ffffb2"
457,1,0.001205,"#ffffb2"
