"length","reads","rel","col"
14,2,0.009272,"#ffffb2"
15,3,0.013908,"#fed976"
16,2,0.009272,"#ffffb2"
17,3,0.013908,"#fed976"
18,1,0.004636,"#ffffb2"
25,2,0.009272,"#ffffb2"
26,3,0.013908,"#fed976"
27,5,0.02318,"#fed976"
28,4,0.018544,"#fed976"
29,10,0.046361,"#fed976"
30,5,0.02318,"#fed976"
31,4,0.018544,"#fed976"
32,4,0.018544,"#fed976"
33,25,0.115902,"#feb24c"
34,107,0.496059,"#feb24c"
35,196,0.908669,"#feb24c"
36,304,1.409365,"#fd8d3c"
37,334,1.548447,"#fd8d3c"
38,266,1.233194,"#fd8d3c"
39,172,0.797404,"#feb24c"
40,84,0.38943,"#feb24c"
41,5,0.02318,"#fed976"
42,3,0.013908,"#fed976"
44,1,0.004636,"#ffffb2"
45,1,0.004636,"#ffffb2"
47,2,0.009272,"#ffffb2"
48,16,0.074177,"#fed976"
49,902,4.181734,"#fd8d3c"
50,1513,7.014372,"#fd8d3c"
51,1857,8.609179,"#fd8d3c"
52,2087,9.675475,"#fd8d3c"
53,1356,6.286509,"#fd8d3c"
54,785,3.639314,"#fd8d3c"
55,359,1.664349,"#fd8d3c"
56,18,0.083449,"#fed976"
57,58,0.268892,"#feb24c"
58,149,0.690774,"#feb24c"
59,250,1.159017,"#fd8d3c"
60,280,1.298099,"#fd8d3c"
61,263,1.219286,"#fd8d3c"
62,168,0.77886,"#feb24c"
63,93,0.431154,"#feb24c"
64,32,0.148354,"#feb24c"
65,4,0.018544,"#fed976"
66,1,0.004636,"#ffffb2"
67,3,0.013908,"#fed976"
69,1,0.004636,"#ffffb2"
88,2,0.009272,"#ffffb2"
89,3,0.013908,"#fed976"
179,1,0.004636,"#ffffb2"
182,1,0.004636,"#ffffb2"
184,1,0.004636,"#ffffb2"
186,2,0.009272,"#ffffb2"
187,2,0.009272,"#ffffb2"
189,25,0.115902,"#feb24c"
190,78,0.361613,"#feb24c"
191,916,4.246639,"#fd8d3c"
192,1626,7.538248,"#fd8d3c"
193,2113,9.796013,"#fd8d3c"
194,2297,10.64905,"#fc4e2a"
195,1522,7.056096,"#fd8d3c"
196,825,3.824757,"#fd8d3c"
197,407,1.88688,"#fd8d3c"
198,2,0.009272,"#ffffb2"
235,1,0.004636,"#ffffb2"
362,2,0.009272,"#ffffb2"
364,1,0.004636,"#ffffb2"
