"length","reads","rel","col"
13,2,0.002559,"#ffffb2"
14,7,0.008955,"#ffffb2"
15,9,0.011514,"#fed976"
16,8,0.010234,"#fed976"
17,15,0.019189,"#fed976"
19,1,0.001279,"#ffffb2"
20,1,0.001279,"#ffffb2"
21,2,0.002559,"#ffffb2"
24,4,0.005117,"#ffffb2"
25,20,0.025586,"#fed976"
26,28,0.03582,"#fed976"
27,30,0.038379,"#fed976"
28,41,0.052451,"#fed976"
29,24,0.030703,"#fed976"
30,22,0.028145,"#fed976"
31,22,0.028145,"#fed976"
32,17,0.021748,"#fed976"
33,151,0.193174,"#feb24c"
34,1684,2.154334,"#fd8d3c"
35,3283,4.199928,"#fd8d3c"
36,4133,5.28733,"#fd8d3c"
37,4864,6.222495,"#fd8d3c"
38,3497,4.473698,"#fd8d3c"
39,2036,2.604646,"#fd8d3c"
40,915,1.170556,"#fd8d3c"
41,35,0.044775,"#fed976"
42,17,0.021748,"#fed976"
44,1,0.001279,"#ffffb2"
47,2,0.002559,"#ffffb2"
48,7,0.008955,"#ffffb2"
49,313,0.40042,"#feb24c"
50,529,0.676748,"#feb24c"
51,688,0.880156,"#feb24c"
52,774,0.990175,"#feb24c"
53,492,0.629414,"#feb24c"
54,308,0.394023,"#feb24c"
55,150,0.191894,"#feb24c"
56,26,0.033262,"#fed976"
57,52,0.066523,"#fed976"
58,90,0.115137,"#feb24c"
59,105,0.134326,"#feb24c"
60,99,0.12665,"#feb24c"
61,64,0.081875,"#fed976"
62,48,0.061406,"#fed976"
63,19,0.024307,"#fed976"
64,1,0.001279,"#ffffb2"
65,1,0.001279,"#ffffb2"
69,1,0.001279,"#ffffb2"
92,1,0.001279,"#ffffb2"
101,1,0.001279,"#ffffb2"
129,1,0.001279,"#ffffb2"
130,1,0.001279,"#ffffb2"
131,1,0.001279,"#ffffb2"
132,1,0.001279,"#ffffb2"
135,2,0.002559,"#ffffb2"
158,1,0.001279,"#ffffb2"
161,1,0.001279,"#ffffb2"
165,1,0.001279,"#ffffb2"
166,2,0.002559,"#ffffb2"
177,1,0.001279,"#ffffb2"
180,2,0.002559,"#ffffb2"
182,1,0.001279,"#ffffb2"
183,3,0.003838,"#ffffb2"
185,7,0.008955,"#ffffb2"
186,1,0.001279,"#ffffb2"
187,3,0.003838,"#ffffb2"
188,10,0.012793,"#fed976"
189,39,0.049893,"#fed976"
190,160,0.204687,"#feb24c"
191,4524,5.787535,"#fd8d3c"
192,8465,10.82924,"#fc4e2a"
193,10856,13.888036,"#fc4e2a"
194,13116,16.779245,"#fc4e2a"
195,8811,11.271876,"#fc4e2a"
196,5069,6.484751,"#fd8d3c"
197,2416,3.090779,"#fd8d3c"
198,27,0.034541,"#fed976"
213,1,0.001279,"#ffffb2"
267,1,0.001279,"#ffffb2"
337,1,0.001279,"#ffffb2"
367,1,0.001279,"#ffffb2"
371,1,0.001279,"#ffffb2"
388,1,0.001279,"#ffffb2"
