"length","reads","rel","col"
33,1,0.001118,"#ffffb2"
34,14,0.015647,"#fed976"
35,26,0.029058,"#fed976"
36,49,0.054763,"#fed976"
37,48,0.053646,"#fed976"
38,45,0.050293,"#fed976"
39,21,0.02347,"#fed976"
40,7,0.007823,"#ffffb2"
50,2,0.002235,"#ffffb2"
51,1,0.001118,"#ffffb2"
56,1,0.001118,"#ffffb2"
57,9,0.010059,"#fed976"
58,8,0.008941,"#ffffb2"
59,12,0.013411,"#fed976"
60,15,0.016764,"#fed976"
61,9,0.010059,"#fed976"
62,4,0.00447,"#ffffb2"
63,3,0.003353,"#ffffb2"
69,1,0.001118,"#ffffb2"
123,1,0.001118,"#ffffb2"
173,1,0.001118,"#ffffb2"
174,1,0.001118,"#ffffb2"
176,1,0.001118,"#ffffb2"
177,1,0.001118,"#ffffb2"
180,1,0.001118,"#ffffb2"
181,3,0.003353,"#ffffb2"
182,4,0.00447,"#ffffb2"
183,3,0.003353,"#ffffb2"
184,5,0.005588,"#ffffb2"
185,8,0.008941,"#ffffb2"
186,4,0.00447,"#ffffb2"
187,11,0.012294,"#fed976"
188,24,0.026823,"#fed976"
189,544,0.607984,"#feb24c"
190,1691,1.889892,"#fd8d3c"
191,9176,10.255264,"#fc4e2a"
192,15111,16.888328,"#fc4e2a"
193,18512,20.689347,"#fc4e2a"
194,20449,22.854173,"#fc4e2a"
195,13254,14.812911,"#fc4e2a"
196,7214,8.062497,"#fd8d3c"
197,3141,3.510439,"#fd8d3c"
198,33,0.036881,"#fed976"
199,1,0.001118,"#ffffb2"
200,1,0.001118,"#ffffb2"
201,1,0.001118,"#ffffb2"
211,1,0.001118,"#ffffb2"
233,1,0.001118,"#ffffb2"
304,1,0.001118,"#ffffb2"
311,1,0.001118,"#ffffb2"
