"length","reads","rel","col"
17,1,0.001197,"#ffffb2"
25,1,0.001197,"#ffffb2"
32,2,0.002395,"#ffffb2"
33,1,0.001197,"#ffffb2"
34,16,0.019156,"#fed976"
35,45,0.053877,"#fed976"
36,56,0.067047,"#fed976"
37,63,0.075427,"#fed976"
38,51,0.06106,"#fed976"
39,33,0.03951,"#fed976"
40,19,0.022748,"#fed976"
41,2,0.002395,"#ffffb2"
49,9,0.010775,"#fed976"
50,25,0.029932,"#fed976"
51,23,0.027537,"#fed976"
52,32,0.038312,"#fed976"
53,11,0.01317,"#fed976"
54,13,0.015564,"#fed976"
55,4,0.004789,"#ffffb2"
58,1,0.001197,"#ffffb2"
60,1,0.001197,"#ffffb2"
62,1,0.001197,"#ffffb2"
95,1,0.001197,"#ffffb2"
98,1,0.001197,"#ffffb2"
102,1,0.001197,"#ffffb2"
103,1,0.001197,"#ffffb2"
177,1,0.001197,"#ffffb2"
179,1,0.001197,"#ffffb2"
181,2,0.002395,"#ffffb2"
182,4,0.004789,"#ffffb2"
183,2,0.002395,"#ffffb2"
184,4,0.004789,"#ffffb2"
185,8,0.009578,"#ffffb2"
186,7,0.008381,"#ffffb2"
187,18,0.021551,"#fed976"
188,58,0.069441,"#fed976"
189,1043,1.248743,"#fd8d3c"
190,3137,3.755807,"#fd8d3c"
191,9823,11.760692,"#fc4e2a"
192,15035,18.000814,"#fc4e2a"
193,17158,20.542599,"#fc4e2a"
194,17316,20.731766,"#fc4e2a"
195,11156,13.35664,"#fc4e2a"
196,5787,6.928547,"#fd8d3c"
197,2489,2.979982,"#fd8d3c"
198,49,0.058666,"#fed976"
199,7,0.008381,"#ffffb2"
202,1,0.001197,"#ffffb2"
229,1,0.001197,"#ffffb2"
233,1,0.001197,"#ffffb2"
234,1,0.001197,"#ffffb2"
236,1,0.001197,"#ffffb2"
