"length","reads","rel","col"
20,1,0.001058,"#ffffb2"
34,6,0.00635,"#ffffb2"
35,8,0.008467,"#ffffb2"
36,10,0.010583,"#fed976"
37,9,0.009525,"#ffffb2"
38,4,0.004233,"#ffffb2"
39,4,0.004233,"#ffffb2"
52,1,0.001058,"#ffffb2"
57,2,0.002117,"#ffffb2"
58,2,0.002117,"#ffffb2"
59,2,0.002117,"#ffffb2"
60,1,0.001058,"#ffffb2"
61,5,0.005292,"#ffffb2"
62,5,0.005292,"#ffffb2"
66,1,0.001058,"#ffffb2"
80,1,0.001058,"#ffffb2"
84,1,0.001058,"#ffffb2"
110,1,0.001058,"#ffffb2"
111,1,0.001058,"#ffffb2"
131,1,0.001058,"#ffffb2"
134,1,0.001058,"#ffffb2"
171,1,0.001058,"#ffffb2"
173,1,0.001058,"#ffffb2"
175,2,0.002117,"#ffffb2"
180,3,0.003175,"#ffffb2"
181,3,0.003175,"#ffffb2"
182,2,0.002117,"#ffffb2"
183,1,0.001058,"#ffffb2"
184,4,0.004233,"#ffffb2"
185,7,0.007408,"#ffffb2"
186,6,0.00635,"#ffffb2"
187,4,0.004233,"#ffffb2"
188,34,0.035983,"#fed976"
189,367,0.388405,"#feb24c"
190,1812,1.917684,"#fd8d3c"
191,9783,10.353586,"#fc4e2a"
192,16323,17.275027,"#fc4e2a"
193,19795,20.949529,"#fc4e2a"
194,21211,22.448116,"#fc4e2a"
195,13817,14.622866,"#fc4e2a"
196,7716,8.16603,"#fd8d3c"
197,3446,3.646985,"#fd8d3c"
198,65,0.068791,"#fed976"
199,3,0.003175,"#ffffb2"
200,1,0.001058,"#ffffb2"
201,1,0.001058,"#ffffb2"
204,1,0.001058,"#ffffb2"
216,1,0.001058,"#ffffb2"
219,1,0.001058,"#ffffb2"
229,2,0.002117,"#ffffb2"
234,1,0.001058,"#ffffb2"
240,1,0.001058,"#ffffb2"
243,1,0.001058,"#ffffb2"
278,1,0.001058,"#ffffb2"
300,1,0.001058,"#ffffb2"
352,1,0.001058,"#ffffb2"
358,1,0.001058,"#ffffb2"
368,1,0.001058,"#ffffb2"
372,1,0.001058,"#ffffb2"
