"length","reads","rel","col"
32,2,0.00267,"#ffffb2"
33,2,0.00267,"#ffffb2"
34,32,0.042722,"#fed976"
35,67,0.089449,"#fed976"
36,51,0.068088,"#fed976"
37,103,0.137511,"#feb24c"
38,85,0.11348,"#feb24c"
39,36,0.048062,"#fed976"
40,19,0.025366,"#fed976"
41,2,0.00267,"#ffffb2"
46,1,0.001335,"#ffffb2"
47,1,0.001335,"#ffffb2"
48,1,0.001335,"#ffffb2"
49,44,0.058743,"#fed976"
50,89,0.11882,"#feb24c"
51,95,0.126831,"#feb24c"
52,114,0.152197,"#feb24c"
53,78,0.104135,"#feb24c"
54,38,0.050732,"#fed976"
55,23,0.030706,"#fed976"
56,12,0.016021,"#fed976"
57,38,0.050732,"#fed976"
58,57,0.076098,"#fed976"
59,56,0.074763,"#fed976"
60,60,0.080104,"#fed976"
61,31,0.041387,"#fed976"
62,24,0.032041,"#fed976"
63,6,0.00801,"#ffffb2"
64,1,0.001335,"#ffffb2"
177,1,0.001335,"#ffffb2"
178,1,0.001335,"#ffffb2"
180,1,0.001335,"#ffffb2"
182,3,0.004005,"#ffffb2"
183,3,0.004005,"#ffffb2"
184,2,0.00267,"#ffffb2"
185,2,0.00267,"#ffffb2"
186,8,0.01068,"#fed976"
187,14,0.018691,"#fed976"
188,96,0.128166,"#feb24c"
189,2193,2.927787,"#fd8d3c"
190,6050,8.077113,"#fd8d3c"
191,11148,14.883249,"#fc4e2a"
192,14926,19.927106,"#fc4e2a"
193,15173,20.256866,"#fc4e2a"
194,12276,16.389197,"#fc4e2a"
195,7274,9.711227,"#fd8d3c"
196,3353,4.476456,"#fd8d3c"
197,1165,1.555345,"#fd8d3c"
198,36,0.048062,"#fed976"
199,2,0.00267,"#ffffb2"
224,1,0.001335,"#ffffb2"
228,1,0.001335,"#ffffb2"
230,1,0.001335,"#ffffb2"
231,1,0.001335,"#ffffb2"
234,1,0.001335,"#ffffb2"
240,1,0.001335,"#ffffb2"
457,1,0.001335,"#ffffb2"
458,1,0.001335,"#ffffb2"
