"length","reads","rel","col"
14,1,0.000651,"#ffffb2"
15,2,0.001302,"#ffffb2"
16,4,0.002604,"#ffffb2"
17,1,0.000651,"#ffffb2"
19,3,0.001953,"#ffffb2"
20,1,0.000651,"#ffffb2"
21,1,0.000651,"#ffffb2"
25,4,0.002604,"#ffffb2"
26,5,0.003255,"#ffffb2"
27,10,0.006509,"#ffffb2"
28,2,0.001302,"#ffffb2"
29,12,0.007811,"#ffffb2"
30,12,0.007811,"#ffffb2"
31,8,0.005207,"#ffffb2"
32,12,0.007811,"#ffffb2"
33,56,0.036452,"#fed976"
34,776,0.50512,"#feb24c"
35,1456,0.94775,"#feb24c"
36,1961,1.276468,"#fd8d3c"
37,2363,1.538141,"#fd8d3c"
38,1694,1.102671,"#fd8d3c"
39,1006,0.654833,"#feb24c"
40,510,0.331973,"#feb24c"
41,18,0.011717,"#fed976"
42,4,0.002604,"#ffffb2"
59,1,0.000651,"#ffffb2"
73,1,0.000651,"#ffffb2"
85,1,0.000651,"#ffffb2"
103,1,0.000651,"#ffffb2"
105,1,0.000651,"#ffffb2"
115,1,0.000651,"#ffffb2"
136,1,0.000651,"#ffffb2"
137,1,0.000651,"#ffffb2"
138,2,0.001302,"#ffffb2"
139,1,0.000651,"#ffffb2"
166,1,0.000651,"#ffffb2"
179,2,0.001302,"#ffffb2"
181,4,0.002604,"#ffffb2"
182,4,0.002604,"#ffffb2"
183,3,0.001953,"#ffffb2"
184,5,0.003255,"#ffffb2"
185,6,0.003906,"#ffffb2"
186,6,0.003906,"#ffffb2"
187,13,0.008462,"#ffffb2"
188,27,0.017575,"#fed976"
189,149,0.096988,"#fed976"
190,883,0.574769,"#feb24c"
191,13379,8.708756,"#fd8d3c"
192,23512,15.304601,"#fc4e2a"
193,29910,19.469234,"#fc4e2a"
194,34173,22.244137,"#fc4e2a"
195,23086,15.027306,"#fc4e2a"
196,12627,8.219258,"#fd8d3c"
197,5816,3.785793,"#fd8d3c"
198,73,0.047518,"#fed976"
199,1,0.000651,"#ffffb2"
201,1,0.000651,"#ffffb2"
203,1,0.000651,"#ffffb2"
204,1,0.000651,"#ffffb2"
205,2,0.001302,"#ffffb2"
206,1,0.000651,"#ffffb2"
208,1,0.000651,"#ffffb2"
216,1,0.000651,"#ffffb2"
218,1,0.000651,"#ffffb2"
220,2,0.001302,"#ffffb2"
222,1,0.000651,"#ffffb2"
295,1,0.000651,"#ffffb2"
333,1,0.000651,"#ffffb2"
