"length","reads","rel","col"
14,1,0.000832,"#ffffb2"
17,2,0.001664,"#ffffb2"
20,1,0.000832,"#ffffb2"
24,1,0.000832,"#ffffb2"
25,1,0.000832,"#ffffb2"
26,4,0.003328,"#ffffb2"
27,4,0.003328,"#ffffb2"
28,3,0.002496,"#ffffb2"
29,3,0.002496,"#ffffb2"
30,4,0.003328,"#ffffb2"
31,3,0.002496,"#ffffb2"
32,8,0.006656,"#ffffb2"
33,22,0.018303,"#fed976"
34,249,0.207156,"#feb24c"
35,479,0.398506,"#feb24c"
36,557,0.463398,"#feb24c"
37,698,0.580704,"#feb24c"
38,510,0.424296,"#feb24c"
39,313,0.260402,"#feb24c"
40,168,0.139768,"#feb24c"
41,6,0.004992,"#ffffb2"
42,3,0.002496,"#ffffb2"
46,1,0.000832,"#ffffb2"
47,4,0.003328,"#ffffb2"
48,13,0.010815,"#fed976"
49,706,0.587359,"#feb24c"
50,1201,0.999176,"#feb24c"
51,1502,1.249594,"#fd8d3c"
52,1738,1.445935,"#fd8d3c"
53,1081,0.899342,"#feb24c"
54,601,0.500004,"#feb24c"
55,293,0.243762,"#feb24c"
56,79,0.065724,"#fed976"
57,185,0.153911,"#feb24c"
58,233,0.193845,"#feb24c"
59,340,0.282864,"#feb24c"
60,312,0.25957,"#feb24c"
61,249,0.207156,"#feb24c"
62,132,0.109818,"#feb24c"
63,50,0.041598,"#fed976"
64,13,0.010815,"#fed976"
74,1,0.000832,"#ffffb2"
77,1,0.000832,"#ffffb2"
79,2,0.001664,"#ffffb2"
85,1,0.000832,"#ffffb2"
96,2,0.001664,"#ffffb2"
97,2,0.001664,"#ffffb2"
98,2,0.001664,"#ffffb2"
99,1,0.000832,"#ffffb2"
100,1,0.000832,"#ffffb2"
101,1,0.000832,"#ffffb2"
105,1,0.000832,"#ffffb2"
123,1,0.000832,"#ffffb2"
151,1,0.000832,"#ffffb2"
175,1,0.000832,"#ffffb2"
177,4,0.003328,"#ffffb2"
178,8,0.006656,"#ffffb2"
179,10,0.00832,"#ffffb2"
180,17,0.014143,"#fed976"
181,3,0.002496,"#ffffb2"
182,3,0.002496,"#ffffb2"
183,5,0.00416,"#ffffb2"
184,2,0.001664,"#ffffb2"
185,17,0.014143,"#fed976"
186,13,0.010815,"#fed976"
187,23,0.019135,"#fed976"
188,56,0.046589,"#fed976"
189,581,0.483365,"#feb24c"
190,2041,1.698017,"#fd8d3c"
191,11376,9.464305,"#fd8d3c"
192,18652,15.5176,"#fc4e2a"
193,22601,18.802985,"#fc4e2a"
194,24513,20.39368,"#fc4e2a"
195,15831,13.170659,"#fc4e2a"
196,8509,7.079094,"#fd8d3c"
197,3904,3.247947,"#fd8d3c"
198,66,0.054909,"#fed976"
199,3,0.002496,"#ffffb2"
201,1,0.000832,"#ffffb2"
202,1,0.000832,"#ffffb2"
213,1,0.000832,"#ffffb2"
218,1,0.000832,"#ffffb2"
233,1,0.000832,"#ffffb2"
236,1,0.000832,"#ffffb2"
261,1,0.000832,"#ffffb2"
282,1,0.000832,"#ffffb2"
283,13,0.010815,"#fed976"
284,21,0.017471,"#fed976"
285,33,0.027454,"#fed976"
286,22,0.018303,"#fed976"
287,31,0.025791,"#fed976"
288,18,0.014975,"#fed976"
289,10,0.00832,"#ffffb2"
290,2,0.001664,"#ffffb2"
293,1,0.000832,"#ffffb2"
317,1,0.000832,"#ffffb2"
333,1,0.000832,"#ffffb2"
338,1,0.000832,"#ffffb2"
382,1,0.000832,"#ffffb2"
385,1,0.000832,"#ffffb2"
393,2,0.001664,"#ffffb2"
395,1,0.000832,"#ffffb2"
397,1,0.000832,"#ffffb2"
398,1,0.000832,"#ffffb2"
399,1,0.000832,"#ffffb2"
