"length","reads","rel","col"
28,1,0.001172,"#ffffb2"
33,1,0.001172,"#ffffb2"
34,13,0.01523,"#fed976"
35,20,0.023431,"#fed976"
36,24,0.028118,"#fed976"
37,47,0.055063,"#fed976"
38,33,0.038662,"#fed976"
39,20,0.023431,"#fed976"
40,11,0.012887,"#fed976"
41,2,0.002343,"#ffffb2"
48,1,0.001172,"#ffffb2"
49,34,0.039833,"#fed976"
50,43,0.050377,"#fed976"
51,59,0.069122,"#fed976"
52,91,0.106612,"#feb24c"
53,50,0.058578,"#fed976"
54,34,0.039833,"#fed976"
55,26,0.030461,"#fed976"
56,11,0.012887,"#fed976"
57,18,0.021088,"#fed976"
58,25,0.029289,"#fed976"
59,34,0.039833,"#fed976"
60,33,0.038662,"#fed976"
61,28,0.032804,"#fed976"
62,13,0.01523,"#fed976"
63,4,0.004686,"#ffffb2"
64,3,0.003515,"#ffffb2"
66,1,0.001172,"#ffffb2"
73,1,0.001172,"#ffffb2"
81,1,0.001172,"#ffffb2"
123,1,0.001172,"#ffffb2"
150,2,0.002343,"#ffffb2"
151,1,0.001172,"#ffffb2"
152,1,0.001172,"#ffffb2"
157,1,0.001172,"#ffffb2"
163,1,0.001172,"#ffffb2"
164,1,0.001172,"#ffffb2"
165,1,0.001172,"#ffffb2"
166,3,0.003515,"#ffffb2"
167,2,0.002343,"#ffffb2"
169,1,0.001172,"#ffffb2"
179,1,0.001172,"#ffffb2"
181,2,0.002343,"#ffffb2"
182,1,0.001172,"#ffffb2"
183,3,0.003515,"#ffffb2"
184,2,0.002343,"#ffffb2"
185,2,0.002343,"#ffffb2"
186,6,0.007029,"#ffffb2"
187,8,0.009373,"#ffffb2"
188,18,0.021088,"#fed976"
189,58,0.067951,"#fed976"
190,407,0.476826,"#feb24c"
191,8082,9.468579,"#fd8d3c"
192,13993,16.393692,"#fc4e2a"
193,17531,20.538685,"#fc4e2a"
194,20391,23.889358,"#fc4e2a"
195,13245,15.517363,"#fc4e2a"
196,7484,8.767984,"#fd8d3c"
197,3355,3.930597,"#fd8d3c"
198,54,0.063264,"#fed976"
199,3,0.003515,"#ffffb2"
204,1,0.001172,"#ffffb2"
205,2,0.002343,"#ffffb2"
207,1,0.001172,"#ffffb2"
214,1,0.001172,"#ffffb2"
227,1,0.001172,"#ffffb2"
231,1,0.001172,"#ffffb2"
300,1,0.001172,"#ffffb2"
305,1,0.001172,"#ffffb2"
332,1,0.001172,"#ffffb2"
383,2,0.002343,"#ffffb2"
405,1,0.001172,"#ffffb2"
