"length","reads","rel","col"
13,1,0.000795,"#ffffb2"
14,3,0.002384,"#ffffb2"
15,2,0.001589,"#ffffb2"
16,4,0.003179,"#ffffb2"
17,4,0.003179,"#ffffb2"
18,2,0.001589,"#ffffb2"
19,2,0.001589,"#ffffb2"
20,1,0.000795,"#ffffb2"
21,3,0.002384,"#ffffb2"
22,3,0.002384,"#ffffb2"
23,7,0.005563,"#ffffb2"
24,2,0.001589,"#ffffb2"
25,8,0.006357,"#ffffb2"
26,16,0.012715,"#fed976"
27,18,0.014304,"#fed976"
28,19,0.015099,"#fed976"
29,27,0.021456,"#fed976"
30,26,0.020661,"#fed976"
31,36,0.028608,"#fed976"
32,49,0.038939,"#fed976"
33,247,0.196283,"#feb24c"
34,1919,1.524964,"#fd8d3c"
35,3655,2.904505,"#fd8d3c"
36,5020,3.989224,"#fd8d3c"
37,6287,4.996066,"#fd8d3c"
38,4744,3.769896,"#fd8d3c"
39,2956,2.349033,"#fd8d3c"
40,1533,1.218223,"#fd8d3c"
41,102,0.081056,"#fed976"
42,39,0.030992,"#fed976"
43,1,0.000795,"#ffffb2"
44,1,0.000795,"#ffffb2"
45,2,0.001589,"#ffffb2"
46,5,0.003973,"#ffffb2"
47,10,0.007947,"#ffffb2"
48,33,0.026224,"#fed976"
49,1717,1.364442,"#fd8d3c"
50,2936,2.33314,"#fd8d3c"
51,3758,2.986356,"#fd8d3c"
52,4250,3.377331,"#fd8d3c"
53,2823,2.243343,"#fd8d3c"
54,1518,1.206303,"#fd8d3c"
55,696,0.553088,"#feb24c"
56,637,0.506202,"#feb24c"
57,1952,1.551188,"#fd8d3c"
58,3215,2.554852,"#fd8d3c"
59,4164,3.30899,"#fd8d3c"
60,4148,3.296275,"#fd8d3c"
61,3129,2.486511,"#fd8d3c"
62,1813,1.44073,"#fd8d3c"
63,874,0.694538,"#feb24c"
64,232,0.184363,"#feb24c"
65,23,0.018277,"#fed976"
66,6,0.004768,"#ffffb2"
67,3,0.002384,"#ffffb2"
68,4,0.003179,"#ffffb2"
71,1,0.000795,"#ffffb2"
72,1,0.000795,"#ffffb2"
80,1,0.000795,"#ffffb2"
91,1,0.000795,"#ffffb2"
106,1,0.000795,"#ffffb2"
113,1,0.000795,"#ffffb2"
114,2,0.001589,"#ffffb2"
115,1,0.000795,"#ffffb2"
116,1,0.000795,"#ffffb2"
118,1,0.000795,"#ffffb2"
123,1,0.000795,"#ffffb2"
125,3,0.002384,"#ffffb2"
126,1,0.000795,"#ffffb2"
127,2,0.001589,"#ffffb2"
168,1,0.000795,"#ffffb2"
172,1,0.000795,"#ffffb2"
177,1,0.000795,"#ffffb2"
179,1,0.000795,"#ffffb2"
181,4,0.003179,"#ffffb2"
182,4,0.003179,"#ffffb2"
184,2,0.001589,"#ffffb2"
185,1,0.000795,"#ffffb2"
186,3,0.002384,"#ffffb2"
187,7,0.005563,"#ffffb2"
188,31,0.024635,"#fed976"
189,242,0.192309,"#feb24c"
190,676,0.537194,"#feb24c"
191,5794,4.604296,"#fd8d3c"
192,10080,8.010235,"#fd8d3c"
193,12612,10.02233,"#fc4e2a"
194,14188,11.274724,"#fc4e2a"
195,9590,7.620849,"#fd8d3c"
196,5263,4.182328,"#fd8d3c"
197,2456,1.9517,"#fd8d3c"
198,170,0.135093,"#feb24c"
199,2,0.001589,"#ffffb2"
254,1,0.000795,"#ffffb2"
256,1,0.000795,"#ffffb2"
283,1,0.000795,"#ffffb2"
288,1,0.000795,"#ffffb2"
301,1,0.000795,"#ffffb2"
365,1,0.000795,"#ffffb2"
368,1,0.000795,"#ffffb2"
