"length","reads","rel","col"
17,1,0.001199,"#ffffb2"
23,1,0.001199,"#ffffb2"
26,1,0.001199,"#ffffb2"
27,1,0.001199,"#ffffb2"
30,2,0.002397,"#ffffb2"
32,1,0.001199,"#ffffb2"
33,1,0.001199,"#ffffb2"
34,28,0.033559,"#fed976"
35,44,0.052735,"#fed976"
36,65,0.077904,"#fed976"
37,66,0.079103,"#fed976"
38,58,0.069514,"#fed976"
39,37,0.044345,"#fed976"
40,17,0.020375,"#fed976"
49,25,0.029963,"#fed976"
50,57,0.068316,"#fed976"
51,59,0.070713,"#fed976"
52,87,0.104272,"#feb24c"
53,43,0.051537,"#fed976"
54,35,0.041948,"#fed976"
55,11,0.013184,"#fed976"
56,23,0.027566,"#fed976"
57,63,0.075507,"#fed976"
58,100,0.119852,"#feb24c"
59,109,0.130639,"#feb24c"
60,127,0.152212,"#feb24c"
61,71,0.085095,"#fed976"
62,36,0.043147,"#fed976"
63,14,0.016779,"#fed976"
64,4,0.004794,"#ffffb2"
68,1,0.001199,"#ffffb2"
70,1,0.001199,"#ffffb2"
71,1,0.001199,"#ffffb2"
86,1,0.001199,"#ffffb2"
117,1,0.001199,"#ffffb2"
172,1,0.001199,"#ffffb2"
177,1,0.001199,"#ffffb2"
178,1,0.001199,"#ffffb2"
179,1,0.001199,"#ffffb2"
180,1,0.001199,"#ffffb2"
182,2,0.002397,"#ffffb2"
184,2,0.002397,"#ffffb2"
185,4,0.004794,"#ffffb2"
186,6,0.007191,"#ffffb2"
187,12,0.014382,"#fed976"
188,69,0.082698,"#fed976"
189,1268,1.519728,"#fd8d3c"
190,3613,4.330265,"#fd8d3c"
191,10277,12.317225,"#fc4e2a"
192,15148,18.155233,"#fc4e2a"
193,16980,20.350928,"#fc4e2a"
194,16702,20.017738,"#fc4e2a"
195,10418,12.486217,"#fc4e2a"
196,5398,6.469629,"#fd8d3c"
197,2278,2.730236,"#fd8d3c"
198,50,0.059926,"#fed976"
199,3,0.003596,"#ffffb2"
210,1,0.001199,"#ffffb2"
279,1,0.001199,"#ffffb2"
314,1,0.001199,"#ffffb2"
394,1,0.001199,"#ffffb2"
395,1,0.001199,"#ffffb2"
396,4,0.004794,"#ffffb2"
