"length","reads","rel","col"
24,1,0.001433,"#ffffb2"
28,1,0.001433,"#ffffb2"
34,1,0.001433,"#ffffb2"
35,1,0.001433,"#ffffb2"
36,1,0.001433,"#ffffb2"
37,2,0.002865,"#ffffb2"
39,1,0.001433,"#ffffb2"
40,1,0.001433,"#ffffb2"
41,1,0.001433,"#ffffb2"
49,2,0.002865,"#ffffb2"
50,10,0.014327,"#fed976"
51,9,0.012894,"#fed976"
52,17,0.024355,"#fed976"
53,11,0.015759,"#fed976"
54,3,0.004298,"#ffffb2"
55,2,0.002865,"#ffffb2"
56,3,0.004298,"#ffffb2"
57,3,0.004298,"#ffffb2"
58,8,0.011461,"#fed976"
59,4,0.005731,"#ffffb2"
60,7,0.010029,"#fed976"
61,4,0.005731,"#ffffb2"
62,4,0.005731,"#ffffb2"
63,1,0.001433,"#ffffb2"
75,1,0.001433,"#ffffb2"
177,1,0.001433,"#ffffb2"
179,1,0.001433,"#ffffb2"
182,4,0.005731,"#ffffb2"
183,3,0.004298,"#ffffb2"
184,1,0.001433,"#ffffb2"
185,4,0.005731,"#ffffb2"
186,3,0.004298,"#ffffb2"
187,11,0.015759,"#fed976"
188,41,0.058739,"#fed976"
189,1053,1.508596,"#fd8d3c"
190,3018,4.323782,"#fd8d3c"
191,8472,12.137536,"#fc4e2a"
192,12646,18.117479,"#fc4e2a"
193,14503,20.777937,"#fc4e2a"
194,14319,20.514327,"#fc4e2a"
195,9017,12.918338,"#fc4e2a"
196,4600,6.590258,"#fd8d3c"
197,1967,2.818052,"#fd8d3c"
198,31,0.044413,"#fed976"
199,3,0.004298,"#ffffb2"
208,2,0.002865,"#ffffb2"
221,1,0.001433,"#ffffb2"
