"length","reads","rel","col"
28,1,0.001066,"#ffffb2"
29,1,0.001066,"#ffffb2"
33,2,0.002132,"#ffffb2"
34,34,0.036238,"#fed976"
35,62,0.066082,"#fed976"
36,60,0.06395,"#fed976"
37,95,0.101254,"#feb24c"
38,54,0.057555,"#fed976"
39,23,0.024514,"#fed976"
40,15,0.015988,"#fed976"
42,1,0.001066,"#ffffb2"
49,1,0.001066,"#ffffb2"
50,3,0.003198,"#ffffb2"
51,6,0.006395,"#ffffb2"
52,2,0.002132,"#ffffb2"
53,1,0.001066,"#ffffb2"
54,1,0.001066,"#ffffb2"
55,3,0.003198,"#ffffb2"
56,3,0.003198,"#ffffb2"
57,16,0.017053,"#fed976"
58,52,0.055424,"#fed976"
59,64,0.068214,"#fed976"
60,78,0.083135,"#fed976"
61,70,0.074609,"#fed976"
62,49,0.052226,"#fed976"
63,21,0.022383,"#fed976"
64,12,0.01279,"#fed976"
65,1,0.001066,"#ffffb2"
66,1,0.001066,"#ffffb2"
69,1,0.001066,"#ffffb2"
82,1,0.001066,"#ffffb2"
97,1,0.001066,"#ffffb2"
100,1,0.001066,"#ffffb2"
103,1,0.001066,"#ffffb2"
172,2,0.002132,"#ffffb2"
174,1,0.001066,"#ffffb2"
175,3,0.003198,"#ffffb2"
176,2,0.002132,"#ffffb2"
178,3,0.003198,"#ffffb2"
179,2,0.002132,"#ffffb2"
180,3,0.003198,"#ffffb2"
181,4,0.004263,"#ffffb2"
182,4,0.004263,"#ffffb2"
183,2,0.002132,"#ffffb2"
184,4,0.004263,"#ffffb2"
185,10,0.010658,"#fed976"
186,5,0.005329,"#ffffb2"
187,12,0.01279,"#fed976"
188,38,0.040502,"#fed976"
189,622,0.66295,"#feb24c"
190,2115,2.254245,"#fd8d3c"
191,9631,10.265074,"#fc4e2a"
192,16232,17.300662,"#fc4e2a"
193,19277,20.546135,"#fc4e2a"
194,20904,22.280251,"#fc4e2a"
195,13590,14.484721,"#fc4e2a"
196,7338,7.82111,"#fd8d3c"
197,3224,3.436258,"#fd8d3c"
198,40,0.042633,"#fed976"
199,5,0.005329,"#ffffb2"
200,1,0.001066,"#ffffb2"
203,1,0.001066,"#ffffb2"
205,1,0.001066,"#ffffb2"
208,1,0.001066,"#ffffb2"
222,1,0.001066,"#ffffb2"
275,2,0.002132,"#ffffb2"
285,1,0.001066,"#ffffb2"
290,1,0.001066,"#ffffb2"
301,1,0.001066,"#ffffb2"
307,1,0.001066,"#ffffb2"
311,1,0.001066,"#ffffb2"
312,1,0.001066,"#ffffb2"
