"length","reads","rel","col"
26,1,0.001204,"#ffffb2"
29,1,0.001204,"#ffffb2"
32,1,0.001204,"#ffffb2"
33,2,0.002408,"#ffffb2"
34,23,0.027687,"#fed976"
35,65,0.078247,"#fed976"
36,82,0.098712,"#fed976"
37,104,0.125196,"#feb24c"
38,93,0.111954,"#feb24c"
39,56,0.067413,"#fed976"
40,27,0.032503,"#fed976"
41,1,0.001204,"#ffffb2"
42,1,0.001204,"#ffffb2"
46,1,0.001204,"#ffffb2"
47,1,0.001204,"#ffffb2"
49,15,0.018057,"#fed976"
50,32,0.038522,"#fed976"
51,35,0.042133,"#fed976"
52,39,0.046948,"#fed976"
53,39,0.046948,"#fed976"
54,21,0.02528,"#fed976"
55,8,0.00963,"#ffffb2"
56,7,0.008427,"#ffffb2"
57,32,0.038522,"#fed976"
58,52,0.062598,"#fed976"
59,66,0.079451,"#fed976"
60,63,0.07584,"#fed976"
61,45,0.054171,"#fed976"
62,32,0.038522,"#fed976"
63,13,0.015649,"#fed976"
64,8,0.00963,"#ffffb2"
85,1,0.001204,"#ffffb2"
86,1,0.001204,"#ffffb2"
87,1,0.001204,"#ffffb2"
88,1,0.001204,"#ffffb2"
151,1,0.001204,"#ffffb2"
177,2,0.002408,"#ffffb2"
178,1,0.001204,"#ffffb2"
181,3,0.003611,"#ffffb2"
183,6,0.007223,"#ffffb2"
184,2,0.002408,"#ffffb2"
185,4,0.004815,"#ffffb2"
186,11,0.013242,"#fed976"
187,13,0.015649,"#fed976"
188,26,0.031299,"#fed976"
189,185,0.222704,"#feb24c"
190,666,0.801733,"#feb24c"
191,7911,9.523294,"#fd8d3c"
192,13497,16.247743,"#fc4e2a"
193,17177,20.677742,"#fc4e2a"
194,19301,23.234621,"#fc4e2a"
195,12822,15.435175,"#fc4e2a"
196,7188,8.652943,"#fd8d3c"
197,3210,3.864211,"#fd8d3c"
198,57,0.068617,"#fed976"
199,2,0.002408,"#ffffb2"
201,1,0.001204,"#ffffb2"
202,3,0.003611,"#ffffb2"
205,1,0.001204,"#ffffb2"
206,1,0.001204,"#ffffb2"
217,1,0.001204,"#ffffb2"
218,1,0.001204,"#ffffb2"
219,1,0.001204,"#ffffb2"
229,1,0.001204,"#ffffb2"
240,1,0.001204,"#ffffb2"
271,1,0.001204,"#ffffb2"
337,1,0.001204,"#ffffb2"
427,2,0.002408,"#ffffb2"
