"length","reads","rel","col"
29,1,0.000961,"#ffffb2"
33,1,0.000961,"#ffffb2"
34,8,0.007689,"#ffffb2"
35,9,0.00865,"#ffffb2"
36,13,0.012494,"#fed976"
37,20,0.019222,"#fed976"
38,12,0.011533,"#fed976"
39,1,0.000961,"#ffffb2"
40,1,0.000961,"#ffffb2"
52,1,0.000961,"#ffffb2"
53,1,0.000961,"#ffffb2"
56,1,0.000961,"#ffffb2"
57,6,0.005767,"#ffffb2"
58,3,0.002883,"#ffffb2"
59,13,0.012494,"#fed976"
60,15,0.014417,"#fed976"
61,6,0.005767,"#ffffb2"
62,7,0.006728,"#ffffb2"
63,2,0.001922,"#ffffb2"
177,1,0.000961,"#ffffb2"
178,1,0.000961,"#ffffb2"
179,1,0.000961,"#ffffb2"
180,2,0.001922,"#ffffb2"
182,1,0.000961,"#ffffb2"
183,3,0.002883,"#ffffb2"
184,6,0.005767,"#ffffb2"
185,4,0.003844,"#ffffb2"
186,6,0.005767,"#ffffb2"
187,14,0.013456,"#fed976"
188,41,0.039406,"#fed976"
189,827,0.794841,"#feb24c"
190,2558,2.458528,"#fd8d3c"
191,11274,10.835592,"#fc4e2a"
192,18141,17.435557,"#fc4e2a"
193,21448,20.613959,"#fc4e2a"
194,22968,22.074852,"#fc4e2a"
195,15034,14.449378,"#fc4e2a"
196,8111,7.79559,"#fd8d3c"
197,3413,3.28028,"#fd8d3c"
198,57,0.054783,"#fed976"
199,3,0.002883,"#ffffb2"
200,3,0.002883,"#ffffb2"
201,1,0.000961,"#ffffb2"
202,2,0.001922,"#ffffb2"
204,1,0.000961,"#ffffb2"
227,1,0.000961,"#ffffb2"
233,1,0.000961,"#ffffb2"
259,1,0.000961,"#ffffb2"
331,1,0.000961,"#ffffb2"
