"length","reads","rel","col"
21,1,0.000985,"#ffffb2"
34,9,0.008869,"#ffffb2"
35,12,0.011825,"#fed976"
36,15,0.014782,"#fed976"
37,17,0.016753,"#fed976"
38,17,0.016753,"#fed976"
39,15,0.014782,"#fed976"
40,5,0.004927,"#ffffb2"
41,1,0.000985,"#ffffb2"
49,15,0.014782,"#fed976"
50,18,0.017738,"#fed976"
51,35,0.034491,"#fed976"
52,42,0.041389,"#fed976"
53,37,0.036462,"#fed976"
54,12,0.011825,"#fed976"
55,12,0.011825,"#fed976"
56,3,0.002956,"#ffffb2"
57,3,0.002956,"#ffffb2"
58,10,0.009855,"#ffffb2"
59,7,0.006898,"#ffffb2"
60,8,0.007884,"#ffffb2"
61,6,0.005913,"#ffffb2"
62,3,0.002956,"#ffffb2"
63,3,0.002956,"#ffffb2"
64,3,0.002956,"#ffffb2"
65,1,0.000985,"#ffffb2"
66,2,0.001971,"#ffffb2"
67,4,0.003942,"#ffffb2"
69,1,0.000985,"#ffffb2"
85,1,0.000985,"#ffffb2"
88,2,0.001971,"#ffffb2"
99,1,0.000985,"#ffffb2"
101,1,0.000985,"#ffffb2"
117,1,0.000985,"#ffffb2"
158,1,0.000985,"#ffffb2"
161,1,0.000985,"#ffffb2"
176,3,0.002956,"#ffffb2"
177,1,0.000985,"#ffffb2"
178,3,0.002956,"#ffffb2"
181,1,0.000985,"#ffffb2"
182,3,0.002956,"#ffffb2"
183,2,0.001971,"#ffffb2"
184,2,0.001971,"#ffffb2"
185,11,0.01084,"#fed976"
186,3,0.002956,"#ffffb2"
187,12,0.011825,"#fed976"
188,49,0.048287,"#fed976"
189,905,0.891836,"#feb24c"
190,2848,2.806575,"#fd8d3c"
191,11278,11.113958,"#fc4e2a"
192,17902,17.64161,"#fc4e2a"
193,20837,20.533919,"#fc4e2a"
194,22048,21.727305,"#fc4e2a"
195,14144,13.938271,"#fc4e2a"
196,7653,7.541685,"#fd8d3c"
197,3369,3.319997,"#fd8d3c"
198,57,0.056171,"#fed976"
199,6,0.005913,"#ffffb2"
201,1,0.000985,"#ffffb2"
211,1,0.000985,"#ffffb2"
213,1,0.000985,"#ffffb2"
231,1,0.000985,"#ffffb2"
257,1,0.000985,"#ffffb2"
258,1,0.000985,"#ffffb2"
262,1,0.000985,"#ffffb2"
277,1,0.000985,"#ffffb2"
296,1,0.000985,"#ffffb2"
321,1,0.000985,"#ffffb2"
322,2,0.001971,"#ffffb2"
323,1,0.000985,"#ffffb2"
326,1,0.000985,"#ffffb2"
