"length","reads","rel","col"
20,3,0.002627,"#ffffb2"
21,1,0.000876,"#ffffb2"
25,2,0.001751,"#ffffb2"
26,2,0.001751,"#ffffb2"
28,2,0.001751,"#ffffb2"
29,2,0.001751,"#ffffb2"
30,2,0.001751,"#ffffb2"
31,3,0.002627,"#ffffb2"
32,3,0.002627,"#ffffb2"
33,14,0.012259,"#fed976"
34,186,0.162866,"#feb24c"
35,286,0.250429,"#feb24c"
36,389,0.340619,"#feb24c"
37,473,0.414171,"#feb24c"
38,345,0.302091,"#feb24c"
39,260,0.227663,"#feb24c"
40,87,0.076179,"#fed976"
41,5,0.004378,"#ffffb2"
42,1,0.000876,"#ffffb2"
43,1,0.000876,"#ffffb2"
46,1,0.000876,"#ffffb2"
47,1,0.000876,"#ffffb2"
48,3,0.002627,"#ffffb2"
49,168,0.147105,"#feb24c"
50,254,0.222409,"#feb24c"
51,303,0.265315,"#feb24c"
52,343,0.30034,"#feb24c"
53,216,0.189135,"#feb24c"
54,118,0.103324,"#feb24c"
55,63,0.055164,"#fed976"
56,6,0.005254,"#ffffb2"
57,16,0.01401,"#fed976"
58,41,0.035901,"#fed976"
59,49,0.042906,"#fed976"
60,60,0.052538,"#fed976"
61,40,0.035025,"#fed976"
62,30,0.026269,"#fed976"
63,8,0.007005,"#ffffb2"
64,4,0.003503,"#ffffb2"
163,1,0.000876,"#ffffb2"
177,2,0.001751,"#ffffb2"
179,2,0.001751,"#ffffb2"
180,1,0.000876,"#ffffb2"
181,1,0.000876,"#ffffb2"
182,4,0.003503,"#ffffb2"
183,8,0.007005,"#ffffb2"
184,13,0.011383,"#fed976"
185,6,0.005254,"#ffffb2"
186,12,0.010508,"#fed976"
187,11,0.009632,"#ffffb2"
188,17,0.014886,"#fed976"
189,288,0.25218,"#feb24c"
190,1106,0.968442,"#feb24c"
191,10849,9.499667,"#fd8d3c"
192,18556,16.248117,"#fc4e2a"
193,22984,20.12539,"#fc4e2a"
194,25621,22.434416,"#fc4e2a"
195,17134,15.002977,"#fc4e2a"
196,9442,8.267661,"#fd8d3c"
197,4314,3.777451,"#fd8d3c"
198,34,0.029771,"#fed976"
199,2,0.001751,"#ffffb2"
200,1,0.000876,"#ffffb2"
217,1,0.000876,"#ffffb2"
241,1,0.000876,"#ffffb2"
345,1,0.000876,"#ffffb2"
381,1,0.000876,"#ffffb2"
