"length","reads","rel","col"
18,2,0.002675,"#ffffb2"
25,1,0.001338,"#ffffb2"
29,4,0.00535,"#ffffb2"
31,3,0.004013,"#ffffb2"
33,5,0.006688,"#ffffb2"
34,39,0.052164,"#fed976"
35,66,0.088278,"#fed976"
36,102,0.136429,"#feb24c"
37,116,0.155155,"#feb24c"
38,81,0.108341,"#feb24c"
39,59,0.078915,"#fed976"
40,35,0.046814,"#fed976"
42,1,0.001338,"#ffffb2"
48,2,0.002675,"#ffffb2"
49,63,0.084265,"#fed976"
50,106,0.141779,"#feb24c"
51,115,0.153817,"#feb24c"
52,110,0.14713,"#feb24c"
53,80,0.107003,"#feb24c"
54,54,0.072227,"#fed976"
55,45,0.060189,"#fed976"
56,28,0.037451,"#fed976"
57,31,0.041464,"#fed976"
58,26,0.034776,"#fed976"
59,20,0.026751,"#fed976"
60,18,0.024076,"#fed976"
61,12,0.016051,"#fed976"
62,9,0.012038,"#fed976"
63,2,0.002675,"#ffffb2"
65,1,0.001338,"#ffffb2"
69,1,0.001338,"#ffffb2"
73,1,0.001338,"#ffffb2"
88,1,0.001338,"#ffffb2"
89,4,0.00535,"#ffffb2"
90,1,0.001338,"#ffffb2"
91,6,0.008025,"#ffffb2"
92,4,0.00535,"#ffffb2"
93,2,0.002675,"#ffffb2"
94,1,0.001338,"#ffffb2"
96,1,0.001338,"#ffffb2"
103,2,0.002675,"#ffffb2"
104,1,0.001338,"#ffffb2"
110,1,0.001338,"#ffffb2"
128,1,0.001338,"#ffffb2"
130,1,0.001338,"#ffffb2"
132,1,0.001338,"#ffffb2"
160,1,0.001338,"#ffffb2"
168,2,0.002675,"#ffffb2"
169,1,0.001338,"#ffffb2"
170,2,0.002675,"#ffffb2"
171,3,0.004013,"#ffffb2"
172,2,0.002675,"#ffffb2"
173,1,0.001338,"#ffffb2"
174,1,0.001338,"#ffffb2"
177,1,0.001338,"#ffffb2"
179,1,0.001338,"#ffffb2"
180,1,0.001338,"#ffffb2"
181,26,0.034776,"#fed976"
182,37,0.049489,"#fed976"
183,52,0.069552,"#fed976"
184,58,0.077577,"#fed976"
185,46,0.061527,"#fed976"
186,23,0.030763,"#fed976"
187,23,0.030763,"#fed976"
188,24,0.032101,"#fed976"
189,253,0.338398,"#feb24c"
190,898,1.201113,"#fd8d3c"
191,7350,9.830935,"#fd8d3c"
192,12290,16.438393,"#fc4e2a"
193,15259,20.409555,"#fc4e2a"
194,17086,22.853245,"#fc4e2a"
195,11092,14.836017,"#fc4e2a"
196,6073,8.122893,"#fd8d3c"
197,2844,3.80397,"#fd8d3c"
198,45,0.060189,"#fed976"
204,2,0.002675,"#ffffb2"
347,1,0.001338,"#ffffb2"
479,1,0.001338,"#ffffb2"
