"length","reads","rel","col"
15,1,0.0011,"#ffffb2"
29,1,0.0011,"#ffffb2"
34,3,0.0033,"#ffffb2"
35,3,0.0033,"#ffffb2"
36,2,0.0022,"#ffffb2"
37,3,0.0033,"#ffffb2"
38,1,0.0011,"#ffffb2"
39,2,0.0022,"#ffffb2"
40,1,0.0011,"#ffffb2"
61,1,0.0011,"#ffffb2"
64,1,0.0011,"#ffffb2"
176,1,0.0011,"#ffffb2"
177,1,0.0011,"#ffffb2"
178,1,0.0011,"#ffffb2"
180,1,0.0011,"#ffffb2"
181,1,0.0011,"#ffffb2"
182,3,0.0033,"#ffffb2"
183,3,0.0033,"#ffffb2"
184,3,0.0033,"#ffffb2"
185,4,0.0044,"#ffffb2"
186,7,0.007701,"#ffffb2"
187,11,0.012101,"#fed976"
188,26,0.028603,"#fed976"
189,256,0.281631,"#feb24c"
190,880,0.968107,"#feb24c"
191,8768,9.645871,"#fd8d3c"
192,15186,16.706454,"#fc4e2a"
193,18987,20.888019,"#fc4e2a"
194,21314,23.448003,"#fc4e2a"
195,13971,15.369806,"#fc4e2a"
196,7897,8.687664,"#fd8d3c"
197,3515,3.866929,"#fd8d3c"
198,38,0.041805,"#fed976"
199,1,0.0011,"#ffffb2"
202,1,0.0011,"#ffffb2"
211,1,0.0011,"#ffffb2"
259,1,0.0011,"#ffffb2"
272,1,0.0011,"#ffffb2"
391,1,0.0011,"#ffffb2"
