"length","reads","rel","col"
16,3,0.002669,"#ffffb2"
17,1,0.00089,"#ffffb2"
18,1,0.00089,"#ffffb2"
19,2,0.001779,"#ffffb2"
20,1,0.00089,"#ffffb2"
21,1,0.00089,"#ffffb2"
26,2,0.001779,"#ffffb2"
27,2,0.001779,"#ffffb2"
28,6,0.005338,"#ffffb2"
29,1,0.00089,"#ffffb2"
30,4,0.003559,"#ffffb2"
31,6,0.005338,"#ffffb2"
32,11,0.009787,"#ffffb2"
33,54,0.048044,"#fed976"
34,386,0.343426,"#feb24c"
35,651,0.579197,"#feb24c"
36,948,0.843439,"#feb24c"
37,1079,0.95999,"#feb24c"
38,879,0.782049,"#feb24c"
39,511,0.454638,"#feb24c"
40,275,0.244668,"#feb24c"
41,12,0.010676,"#fed976"
42,1,0.00089,"#ffffb2"
45,1,0.00089,"#ffffb2"
49,30,0.026691,"#fed976"
50,55,0.048934,"#fed976"
51,52,0.046265,"#fed976"
52,70,0.062279,"#fed976"
53,54,0.048044,"#fed976"
54,21,0.018684,"#fed976"
55,4,0.003559,"#ffffb2"
56,4,0.003559,"#ffffb2"
57,22,0.019573,"#fed976"
58,36,0.032029,"#fed976"
59,57,0.050713,"#fed976"
60,58,0.051603,"#fed976"
61,46,0.040926,"#fed976"
62,33,0.02936,"#fed976"
63,18,0.016015,"#fed976"
64,195,0.173492,"#feb24c"
65,325,0.289154,"#feb24c"
66,403,0.35855,"#feb24c"
67,526,0.467984,"#feb24c"
68,310,0.275808,"#feb24c"
69,192,0.170823,"#feb24c"
70,90,0.080073,"#fed976"
73,1,0.00089,"#ffffb2"
74,1,0.00089,"#ffffb2"
78,1,0.00089,"#ffffb2"
96,1,0.00089,"#ffffb2"
98,1,0.00089,"#ffffb2"
112,1,0.00089,"#ffffb2"
116,2,0.001779,"#ffffb2"
152,1,0.00089,"#ffffb2"
153,1,0.00089,"#ffffb2"
161,2,0.001779,"#ffffb2"
174,2,0.001779,"#ffffb2"
175,1,0.00089,"#ffffb2"
178,1,0.00089,"#ffffb2"
179,3,0.002669,"#ffffb2"
181,3,0.002669,"#ffffb2"
182,5,0.004449,"#ffffb2"
183,3,0.002669,"#ffffb2"
184,5,0.004449,"#ffffb2"
185,3,0.002669,"#ffffb2"
186,8,0.007118,"#ffffb2"
187,13,0.011566,"#fed976"
188,63,0.056051,"#fed976"
189,1351,1.201989,"#fd8d3c"
190,3864,3.437814,"#fd8d3c"
191,12436,11.064352,"#fc4e2a"
192,19045,16.944402,"#fc4e2a"
193,21678,19.286992,"#fc4e2a"
194,21925,19.506748,"#fc4e2a"
195,13973,12.431826,"#fc4e2a"
196,7282,6.478821,"#fd8d3c"
197,3198,2.845272,"#fd8d3c"
198,61,0.054272,"#fed976"
199,1,0.00089,"#ffffb2"
201,1,0.00089,"#ffffb2"
203,4,0.003559,"#ffffb2"
204,1,0.00089,"#ffffb2"
205,2,0.001779,"#ffffb2"
212,1,0.00089,"#ffffb2"
213,1,0.00089,"#ffffb2"
217,1,0.00089,"#ffffb2"
226,1,0.00089,"#ffffb2"
237,1,0.00089,"#ffffb2"
253,1,0.00089,"#ffffb2"
300,1,0.00089,"#ffffb2"
322,1,0.00089,"#ffffb2"
323,1,0.00089,"#ffffb2"
324,1,0.00089,"#ffffb2"
327,1,0.00089,"#ffffb2"
382,1,0.00089,"#ffffb2"
448,1,0.00089,"#ffffb2"
449,1,0.00089,"#ffffb2"
