"length","reads","rel","col"
13,1,0.000992,"#ffffb2"
15,1,0.000992,"#ffffb2"
16,1,0.000992,"#ffffb2"
19,1,0.000992,"#ffffb2"
26,4,0.003969,"#ffffb2"
27,3,0.002977,"#ffffb2"
29,4,0.003969,"#ffffb2"
30,3,0.002977,"#ffffb2"
31,4,0.003969,"#ffffb2"
32,5,0.004961,"#ffffb2"
33,27,0.026792,"#fed976"
34,172,0.170672,"#feb24c"
35,394,0.390958,"#feb24c"
36,502,0.498125,"#feb24c"
37,605,0.600329,"#feb24c"
38,448,0.444541,"#feb24c"
39,288,0.285777,"#feb24c"
40,131,0.129989,"#feb24c"
41,11,0.010915,"#fed976"
42,2,0.001985,"#ffffb2"
48,2,0.001985,"#ffffb2"
49,42,0.041676,"#fed976"
50,60,0.059537,"#fed976"
51,68,0.067475,"#fed976"
52,83,0.082359,"#fed976"
53,55,0.054575,"#fed976"
54,34,0.033738,"#fed976"
55,13,0.0129,"#fed976"
56,15,0.014884,"#fed976"
57,51,0.050606,"#fed976"
58,73,0.072436,"#fed976"
59,130,0.128996,"#feb24c"
60,125,0.124035,"#feb24c"
61,111,0.110143,"#feb24c"
62,69,0.068467,"#fed976"
63,33,0.032745,"#fed976"
64,8,0.007938,"#ffffb2"
65,3,0.002977,"#ffffb2"
66,1,0.000992,"#ffffb2"
67,1,0.000992,"#ffffb2"
68,4,0.003969,"#ffffb2"
69,3,0.002977,"#ffffb2"
70,1,0.000992,"#ffffb2"
71,1,0.000992,"#ffffb2"
72,3,0.002977,"#ffffb2"
73,1,0.000992,"#ffffb2"
74,1,0.000992,"#ffffb2"
100,1,0.000992,"#ffffb2"
101,1,0.000992,"#ffffb2"
102,1,0.000992,"#ffffb2"
104,2,0.001985,"#ffffb2"
105,2,0.001985,"#ffffb2"
108,2,0.001985,"#ffffb2"
116,1,0.000992,"#ffffb2"
123,1,0.000992,"#ffffb2"
127,1,0.000992,"#ffffb2"
131,1,0.000992,"#ffffb2"
132,1,0.000992,"#ffffb2"
133,2,0.001985,"#ffffb2"
134,1,0.000992,"#ffffb2"
135,3,0.002977,"#ffffb2"
136,2,0.001985,"#ffffb2"
140,1,0.000992,"#ffffb2"
150,2,0.001985,"#ffffb2"
155,1,0.000992,"#ffffb2"
166,1,0.000992,"#ffffb2"
169,1,0.000992,"#ffffb2"
171,3,0.002977,"#ffffb2"
172,1,0.000992,"#ffffb2"
175,1,0.000992,"#ffffb2"
176,4,0.003969,"#ffffb2"
177,15,0.014884,"#fed976"
178,15,0.014884,"#fed976"
179,18,0.017861,"#fed976"
180,13,0.0129,"#fed976"
181,8,0.007938,"#ffffb2"
182,7,0.006946,"#ffffb2"
183,3,0.002977,"#ffffb2"
184,4,0.003969,"#ffffb2"
185,5,0.004961,"#ffffb2"
186,13,0.0129,"#fed976"
187,3,0.002977,"#ffffb2"
188,31,0.030761,"#fed976"
189,437,0.433626,"#feb24c"
190,1828,1.813888,"#fd8d3c"
191,9785,9.70946,"#fd8d3c"
192,16562,16.434142,"#fc4e2a"
193,20390,20.23259,"#fc4e2a"
194,22277,22.105023,"#fc4e2a"
195,14142,14.032825,"#fc4e2a"
196,7884,7.823136,"#fd8d3c"
197,3606,3.578162,"#fd8d3c"
198,56,0.055568,"#fed976"
199,5,0.004961,"#ffffb2"
206,2,0.001985,"#ffffb2"
224,1,0.000992,"#ffffb2"
225,1,0.000992,"#ffffb2"
230,1,0.000992,"#ffffb2"
231,1,0.000992,"#ffffb2"
232,1,0.000992,"#ffffb2"
233,1,0.000992,"#ffffb2"
235,1,0.000992,"#ffffb2"
236,2,0.001985,"#ffffb2"
239,1,0.000992,"#ffffb2"
240,1,0.000992,"#ffffb2"
241,1,0.000992,"#ffffb2"
242,2,0.001985,"#ffffb2"
247,1,0.000992,"#ffffb2"
249,1,0.000992,"#ffffb2"
250,1,0.000992,"#ffffb2"
259,1,0.000992,"#ffffb2"
261,1,0.000992,"#ffffb2"
263,1,0.000992,"#ffffb2"
265,1,0.000992,"#ffffb2"
294,1,0.000992,"#ffffb2"
309,1,0.000992,"#ffffb2"
311,1,0.000992,"#ffffb2"
314,1,0.000992,"#ffffb2"
318,1,0.000992,"#ffffb2"
320,1,0.000992,"#ffffb2"
379,1,0.000992,"#ffffb2"
382,1,0.000992,"#ffffb2"
390,1,0.000992,"#ffffb2"
391,1,0.000992,"#ffffb2"
401,1,0.000992,"#ffffb2"
440,2,0.001985,"#ffffb2"
