"length","reads","rel","col"
9,1,0.000156,"#ffffb2"
13,1,0.000156,"#ffffb2"
14,3,0.000468,"#ffffb2"
15,1,0.000156,"#ffffb2"
16,4,0.000625,"#ffffb2"
17,2,0.000312,"#ffffb2"
18,1,0.000156,"#ffffb2"
19,2,0.000312,"#ffffb2"
20,2,0.000312,"#ffffb2"
21,2,0.000312,"#ffffb2"
22,3,0.000468,"#ffffb2"
23,3,0.000468,"#ffffb2"
24,16,0.002498,"#ffffb2"
25,27,0.004216,"#ffffb2"
26,100,0.015613,"#fed976"
27,15,0.002342,"#ffffb2"
28,6,0.000937,"#ffffb2"
29,13,0.00203,"#ffffb2"
30,10,0.001561,"#ffffb2"
31,10,0.001561,"#ffffb2"
32,9,0.001405,"#ffffb2"
33,56,0.008743,"#ffffb2"
34,615,0.096022,"#fed976"
35,1050,0.16394,"#feb24c"
36,1414,0.220773,"#feb24c"
37,1698,0.265115,"#feb24c"
38,1278,0.199539,"#feb24c"
39,756,0.118037,"#feb24c"
40,373,0.058238,"#fed976"
41,12,0.001874,"#ffffb2"
42,8,0.001249,"#ffffb2"
43,1,0.000156,"#ffffb2"
44,3,0.000468,"#ffffb2"
45,5,0.000781,"#ffffb2"
46,5,0.000781,"#ffffb2"
47,3,0.000468,"#ffffb2"
48,6,0.000937,"#ffffb2"
49,436,0.068074,"#fed976"
50,723,0.112885,"#feb24c"
51,842,0.131465,"#feb24c"
52,991,0.154728,"#feb24c"
53,694,0.108357,"#feb24c"
54,404,0.063078,"#fed976"
55,227,0.035442,"#fed976"
56,117,0.018268,"#fed976"
57,222,0.034662,"#fed976"
58,348,0.054335,"#fed976"
59,376,0.058706,"#fed976"
60,375,0.05855,"#fed976"
61,261,0.040751,"#fed976"
62,180,0.028104,"#fed976"
63,87,0.013584,"#fed976"
64,37,0.005777,"#ffffb2"
65,24,0.003747,"#ffffb2"
66,18,0.00281,"#ffffb2"
67,26,0.004059,"#ffffb2"
68,23,0.003591,"#ffffb2"
69,30,0.004684,"#ffffb2"
70,29,0.004528,"#ffffb2"
71,15,0.002342,"#ffffb2"
72,12,0.001874,"#ffffb2"
73,20,0.003123,"#ffffb2"
74,27,0.004216,"#ffffb2"
75,17,0.002654,"#ffffb2"
76,19,0.002967,"#ffffb2"
77,13,0.00203,"#ffffb2"
78,17,0.002654,"#ffffb2"
79,20,0.003123,"#ffffb2"
80,19,0.002967,"#ffffb2"
81,17,0.002654,"#ffffb2"
82,20,0.003123,"#ffffb2"
83,16,0.002498,"#ffffb2"
84,18,0.00281,"#ffffb2"
85,12,0.001874,"#ffffb2"
86,23,0.003591,"#ffffb2"
87,23,0.003591,"#ffffb2"
88,27,0.004216,"#ffffb2"
89,23,0.003591,"#ffffb2"
90,27,0.004216,"#ffffb2"
91,27,0.004216,"#ffffb2"
92,30,0.004684,"#ffffb2"
93,26,0.004059,"#ffffb2"
94,30,0.004684,"#ffffb2"
95,30,0.004684,"#ffffb2"
96,29,0.004528,"#ffffb2"
97,21,0.003279,"#ffffb2"
98,39,0.006089,"#ffffb2"
99,35,0.005465,"#ffffb2"
100,24,0.003747,"#ffffb2"
101,37,0.005777,"#ffffb2"
102,37,0.005777,"#ffffb2"
103,51,0.007963,"#ffffb2"
104,47,0.007338,"#ffffb2"
105,32,0.004996,"#ffffb2"
106,46,0.007182,"#ffffb2"
107,28,0.004372,"#ffffb2"
108,46,0.007182,"#ffffb2"
109,49,0.007651,"#ffffb2"
110,49,0.007651,"#ffffb2"
111,44,0.00687,"#ffffb2"
112,55,0.008587,"#ffffb2"
113,68,0.010617,"#fed976"
114,57,0.0089,"#ffffb2"
115,66,0.010305,"#fed976"
116,50,0.007807,"#ffffb2"
117,61,0.009524,"#ffffb2"
118,64,0.009993,"#ffffb2"
119,64,0.009993,"#ffffb2"
120,70,0.010929,"#fed976"
121,63,0.009836,"#ffffb2"
122,60,0.009368,"#ffffb2"
123,81,0.012647,"#fed976"
124,69,0.010773,"#fed976"
125,78,0.012178,"#fed976"
126,62,0.00968,"#ffffb2"
127,84,0.013115,"#fed976"
128,108,0.016862,"#fed976"
129,74,0.011554,"#fed976"
130,80,0.012491,"#fed976"
131,76,0.011866,"#fed976"
132,79,0.012335,"#fed976"
133,83,0.012959,"#fed976"
134,90,0.014052,"#fed976"
135,96,0.014989,"#fed976"
136,91,0.014208,"#fed976"
137,101,0.015769,"#fed976"
138,93,0.01452,"#fed976"
139,107,0.016706,"#fed976"
140,91,0.014208,"#fed976"
141,100,0.015613,"#fed976"
142,90,0.014052,"#fed976"
143,100,0.015613,"#fed976"
144,111,0.017331,"#fed976"
145,125,0.019517,"#fed976"
146,102,0.015926,"#fed976"
147,105,0.016394,"#fed976"
148,124,0.019361,"#fed976"
149,96,0.014989,"#fed976"
150,122,0.019048,"#fed976"
151,115,0.017955,"#fed976"
152,111,0.017331,"#fed976"
153,121,0.018892,"#fed976"
154,108,0.016862,"#fed976"
155,131,0.020454,"#fed976"
156,120,0.018736,"#fed976"
157,108,0.016862,"#fed976"
158,123,0.019204,"#fed976"
159,110,0.017175,"#fed976"
160,113,0.017643,"#fed976"
161,112,0.017487,"#fed976"
162,113,0.017643,"#fed976"
163,129,0.020141,"#fed976"
164,125,0.019517,"#fed976"
165,115,0.017955,"#fed976"
166,113,0.017643,"#fed976"
167,155,0.024201,"#fed976"
168,119,0.01858,"#fed976"
169,152,0.023732,"#fed976"
170,129,0.020141,"#fed976"
171,129,0.020141,"#fed976"
172,118,0.018424,"#fed976"
173,169,0.026387,"#fed976"
174,140,0.021859,"#fed976"
175,128,0.019985,"#fed976"
176,127,0.019829,"#fed976"
177,145,0.022639,"#fed976"
178,136,0.021234,"#fed976"
179,122,0.019048,"#fed976"
180,131,0.020454,"#fed976"
181,106,0.01655,"#fed976"
182,144,0.022483,"#fed976"
183,143,0.022327,"#fed976"
184,141,0.022015,"#fed976"
185,137,0.02139,"#fed976"
186,137,0.02139,"#fed976"
187,156,0.024357,"#fed976"
188,179,0.027948,"#fed976"
189,856,0.13365,"#feb24c"
190,2718,0.424371,"#feb24c"
191,15555,2.428659,"#fd8d3c"
192,25416,3.968292,"#fd8d3c"
193,31649,4.941473,"#fd8d3c"
194,33959,5.302142,"#fd8d3c"
195,22099,3.450397,"#fd8d3c"
196,12246,1.912012,"#fd8d3c"
197,5017,0.783322,"#feb24c"
198,223,0.034818,"#fed976"
199,152,0.023732,"#fed976"
200,118,0.018424,"#fed976"
201,123,0.019204,"#fed976"
202,135,0.021078,"#fed976"
203,140,0.021859,"#fed976"
204,126,0.019673,"#fed976"
205,135,0.021078,"#fed976"
206,115,0.017955,"#fed976"
207,123,0.019204,"#fed976"
208,106,0.01655,"#fed976"
209,135,0.021078,"#fed976"
210,127,0.019829,"#fed976"
211,145,0.022639,"#fed976"
212,139,0.021703,"#fed976"
213,142,0.022171,"#fed976"
214,121,0.018892,"#fed976"
215,147,0.022952,"#fed976"
216,130,0.020297,"#fed976"
217,118,0.018424,"#fed976"
218,125,0.019517,"#fed976"
219,155,0.024201,"#fed976"
220,142,0.022171,"#fed976"
221,121,0.018892,"#fed976"
222,147,0.022952,"#fed976"
223,124,0.019361,"#fed976"
224,156,0.024357,"#fed976"
225,152,0.023732,"#fed976"
226,132,0.02061,"#fed976"
227,149,0.023264,"#fed976"
228,143,0.022327,"#fed976"
229,134,0.020922,"#fed976"
230,138,0.021546,"#fed976"
231,144,0.022483,"#fed976"
232,154,0.024045,"#fed976"
233,131,0.020454,"#fed976"
234,133,0.020766,"#fed976"
235,131,0.020454,"#fed976"
236,163,0.02545,"#fed976"
237,146,0.022796,"#fed976"
238,136,0.021234,"#fed976"
239,150,0.02342,"#fed976"
240,139,0.021703,"#fed976"
241,129,0.020141,"#fed976"
242,130,0.020297,"#fed976"
243,141,0.022015,"#fed976"
244,143,0.022327,"#fed976"
245,127,0.019829,"#fed976"
246,139,0.021703,"#fed976"
247,159,0.024825,"#fed976"
248,124,0.019361,"#fed976"
249,147,0.022952,"#fed976"
250,148,0.023108,"#fed976"
251,111,0.017331,"#fed976"
252,121,0.018892,"#fed976"
253,141,0.022015,"#fed976"
254,138,0.021546,"#fed976"
255,122,0.019048,"#fed976"
256,128,0.019985,"#fed976"
257,135,0.021078,"#fed976"
258,134,0.020922,"#fed976"
259,127,0.019829,"#fed976"
260,146,0.022796,"#fed976"
261,156,0.024357,"#fed976"
262,127,0.019829,"#fed976"
263,128,0.019985,"#fed976"
264,157,0.024513,"#fed976"
265,141,0.022015,"#fed976"
266,146,0.022796,"#fed976"
267,154,0.024045,"#fed976"
268,159,0.024825,"#fed976"
269,134,0.020922,"#fed976"
270,166,0.025918,"#fed976"
271,161,0.025138,"#fed976"
272,139,0.021703,"#fed976"
273,130,0.020297,"#fed976"
274,156,0.024357,"#fed976"
275,148,0.023108,"#fed976"
276,138,0.021546,"#fed976"
277,130,0.020297,"#fed976"
278,118,0.018424,"#fed976"
279,131,0.020454,"#fed976"
280,146,0.022796,"#fed976"
281,169,0.026387,"#fed976"
282,170,0.026543,"#fed976"
283,137,0.02139,"#fed976"
284,157,0.024513,"#fed976"
285,150,0.02342,"#fed976"
286,156,0.024357,"#fed976"
287,168,0.02623,"#fed976"
288,167,0.026074,"#fed976"
289,165,0.025762,"#fed976"
290,176,0.02748,"#fed976"
291,202,0.031539,"#fed976"
292,191,0.029822,"#fed976"
293,190,0.029665,"#fed976"
294,188,0.029353,"#fed976"
295,367,0.057301,"#fed976"
296,3125,0.487918,"#feb24c"
297,443,0.069167,"#fed976"
298,267,0.041688,"#fed976"
299,297,0.046372,"#fed976"
300,282,0.04403,"#fed976"
301,352,0.054959,"#fed976"
302,343,0.053554,"#fed976"
303,416,0.064952,"#fed976"
304,439,0.068543,"#fed976"
305,448,0.069948,"#fed976"
306,488,0.076193,"#fed976"
307,633,0.098833,"#fed976"
308,717,0.111948,"#feb24c"
309,738,0.115227,"#feb24c"
310,904,0.141145,"#feb24c"
311,943,0.147234,"#feb24c"
312,1100,0.171747,"#feb24c"
313,1185,0.185018,"#feb24c"
314,1301,0.20313,"#feb24c"
315,1473,0.229985,"#feb24c"
316,1637,0.255591,"#feb24c"
317,1795,0.28026,"#feb24c"
318,1946,0.303836,"#feb24c"
319,2132,0.332877,"#feb24c"
320,2424,0.378468,"#feb24c"
321,2634,0.411256,"#feb24c"
322,2790,0.435613,"#feb24c"
323,3107,0.485107,"#feb24c"
324,3279,0.511962,"#feb24c"
325,3426,0.534914,"#feb24c"
326,3892,0.607672,"#feb24c"
327,3998,0.624222,"#feb24c"
328,4285,0.669033,"#feb24c"
329,4463,0.696824,"#feb24c"
330,4695,0.733047,"#feb24c"
331,5090,0.79472,"#feb24c"
332,5342,0.834066,"#feb24c"
333,5606,0.875285,"#feb24c"
334,5873,0.916973,"#feb24c"
335,6063,0.946638,"#feb24c"
336,6119,0.955382,"#feb24c"
337,6377,0.995664,"#feb24c"
338,6520,1.017991,"#fd8d3c"
339,6675,1.042192,"#fd8d3c"
340,6748,1.05359,"#fd8d3c"
341,7050,1.100742,"#fd8d3c"
342,7171,1.119634,"#fd8d3c"
343,7236,1.129783,"#fd8d3c"
344,7204,1.124787,"#fd8d3c"
345,7314,1.141961,"#fd8d3c"
346,7444,1.162259,"#fd8d3c"
347,7447,1.162727,"#fd8d3c"
348,7522,1.174437,"#fd8d3c"
349,7509,1.172407,"#fd8d3c"
350,7433,1.160541,"#fd8d3c"
351,7412,1.157262,"#fd8d3c"
352,7478,1.167567,"#fd8d3c"
353,7260,1.13353,"#fd8d3c"
354,7414,1.157575,"#fd8d3c"
