"length","reads","rel","col"
16,1,0.001181,"#ffffb2"
17,1,0.001181,"#ffffb2"
25,1,0.001181,"#ffffb2"
26,1,0.001181,"#ffffb2"
33,1,0.001181,"#ffffb2"
34,19,0.022447,"#fed976"
35,32,0.037806,"#fed976"
36,38,0.044894,"#fed976"
37,47,0.055527,"#fed976"
38,32,0.037806,"#fed976"
39,26,0.030717,"#fed976"
40,12,0.014177,"#fed976"
48,2,0.002363,"#ffffb2"
49,35,0.04135,"#fed976"
50,64,0.075612,"#fed976"
51,61,0.072067,"#fed976"
52,86,0.101603,"#feb24c"
53,64,0.075612,"#fed976"
54,35,0.04135,"#fed976"
55,39,0.046076,"#fed976"
56,43,0.050802,"#fed976"
57,34,0.040169,"#fed976"
58,30,0.035443,"#fed976"
59,24,0.028354,"#fed976"
60,16,0.018903,"#fed976"
61,6,0.007089,"#ffffb2"
62,12,0.014177,"#fed976"
63,13,0.015359,"#fed976"
64,11,0.012996,"#fed976"
65,7,0.00827,"#ffffb2"
66,4,0.004726,"#ffffb2"
67,6,0.007089,"#ffffb2"
68,6,0.007089,"#ffffb2"
69,3,0.003544,"#ffffb2"
70,2,0.002363,"#ffffb2"
71,1,0.001181,"#ffffb2"
72,2,0.002363,"#ffffb2"
73,2,0.002363,"#ffffb2"
74,2,0.002363,"#ffffb2"
75,1,0.001181,"#ffffb2"
76,1,0.001181,"#ffffb2"
77,2,0.002363,"#ffffb2"
78,3,0.003544,"#ffffb2"
79,1,0.001181,"#ffffb2"
80,2,0.002363,"#ffffb2"
82,1,0.001181,"#ffffb2"
84,2,0.002363,"#ffffb2"
90,2,0.002363,"#ffffb2"
91,4,0.004726,"#ffffb2"
92,5,0.005907,"#ffffb2"
93,6,0.007089,"#ffffb2"
94,3,0.003544,"#ffffb2"
95,1,0.001181,"#ffffb2"
96,1,0.001181,"#ffffb2"
98,1,0.001181,"#ffffb2"
109,1,0.001181,"#ffffb2"
113,2,0.002363,"#ffffb2"
119,1,0.001181,"#ffffb2"
120,1,0.001181,"#ffffb2"
125,1,0.001181,"#ffffb2"
134,1,0.001181,"#ffffb2"
139,1,0.001181,"#ffffb2"
144,1,0.001181,"#ffffb2"
155,1,0.001181,"#ffffb2"
156,1,0.001181,"#ffffb2"
159,1,0.001181,"#ffffb2"
165,1,0.001181,"#ffffb2"
170,1,0.001181,"#ffffb2"
173,1,0.001181,"#ffffb2"
177,1,0.001181,"#ffffb2"
178,1,0.001181,"#ffffb2"
180,2,0.002363,"#ffffb2"
181,4,0.004726,"#ffffb2"
182,4,0.004726,"#ffffb2"
183,4,0.004726,"#ffffb2"
184,2,0.002363,"#ffffb2"
185,9,0.010633,"#fed976"
186,3,0.003544,"#ffffb2"
187,6,0.007089,"#ffffb2"
188,34,0.040169,"#fed976"
189,338,0.399324,"#feb24c"
190,1436,1.696537,"#fd8d3c"
191,8629,10.194582,"#fc4e2a"
192,14210,16.788157,"#fc4e2a"
193,17559,20.744775,"#fc4e2a"
194,19305,22.807556,"#fc4e2a"
195,12421,14.674574,"#fc4e2a"
196,6597,7.793911,"#fd8d3c"
197,3092,3.65299,"#fd8d3c"
198,36,0.042532,"#fed976"
200,1,0.001181,"#ffffb2"
201,1,0.001181,"#ffffb2"
202,1,0.001181,"#ffffb2"
208,1,0.001181,"#ffffb2"
210,1,0.001181,"#ffffb2"
217,1,0.001181,"#ffffb2"
238,1,0.001181,"#ffffb2"
239,2,0.002363,"#ffffb2"
240,3,0.003544,"#ffffb2"
241,4,0.004726,"#ffffb2"
242,4,0.004726,"#ffffb2"
243,4,0.004726,"#ffffb2"
244,3,0.003544,"#ffffb2"
245,4,0.004726,"#ffffb2"
266,2,0.002363,"#ffffb2"
284,1,0.001181,"#ffffb2"
287,1,0.001181,"#ffffb2"
302,1,0.001181,"#ffffb2"
308,1,0.001181,"#ffffb2"
309,1,0.001181,"#ffffb2"
313,1,0.001181,"#ffffb2"
316,1,0.001181,"#ffffb2"
319,1,0.001181,"#ffffb2"
324,1,0.001181,"#ffffb2"
339,1,0.001181,"#ffffb2"
352,1,0.001181,"#ffffb2"
377,2,0.002363,"#ffffb2"
386,3,0.003544,"#ffffb2"
387,4,0.004726,"#ffffb2"
388,5,0.005907,"#ffffb2"
389,2,0.002363,"#ffffb2"
390,1,0.001181,"#ffffb2"
391,2,0.002363,"#ffffb2"
393,1,0.001181,"#ffffb2"
395,1,0.001181,"#ffffb2"
397,1,0.001181,"#ffffb2"
399,1,0.001181,"#ffffb2"
402,1,0.001181,"#ffffb2"
404,1,0.001181,"#ffffb2"
406,4,0.004726,"#ffffb2"
464,1,0.001181,"#ffffb2"
466,2,0.002363,"#ffffb2"
468,2,0.002363,"#ffffb2"
