"length","reads","rel","col"
30,1,0.001089,"#ffffb2"
34,1,0.001089,"#ffffb2"
36,3,0.003267,"#ffffb2"
37,3,0.003267,"#ffffb2"
39,5,0.005444,"#ffffb2"
62,1,0.001089,"#ffffb2"
91,1,0.001089,"#ffffb2"
93,1,0.001089,"#ffffb2"
95,1,0.001089,"#ffffb2"
103,1,0.001089,"#ffffb2"
108,2,0.002178,"#ffffb2"
135,1,0.001089,"#ffffb2"
136,2,0.002178,"#ffffb2"
137,2,0.002178,"#ffffb2"
172,1,0.001089,"#ffffb2"
175,1,0.001089,"#ffffb2"
176,1,0.001089,"#ffffb2"
179,2,0.002178,"#ffffb2"
181,3,0.003267,"#ffffb2"
182,4,0.004355,"#ffffb2"
183,7,0.007622,"#ffffb2"
184,2,0.002178,"#ffffb2"
185,5,0.005444,"#ffffb2"
186,10,0.010889,"#fed976"
187,11,0.011978,"#fed976"
188,16,0.017422,"#fed976"
189,101,0.109976,"#feb24c"
190,583,0.634813,"#feb24c"
191,8686,9.457959,"#fd8d3c"
192,15090,16.431107,"#fc4e2a"
193,19085,20.781158,"#fc4e2a"
194,21904,23.850694,"#fc4e2a"
195,14301,15.571985,"#fc4e2a"
196,8164,8.889566,"#fd8d3c"
197,3792,4.12901,"#fd8d3c"
198,32,0.034844,"#fed976"
199,1,0.001089,"#ffffb2"
224,1,0.001089,"#ffffb2"
228,1,0.001089,"#ffffb2"
229,2,0.002178,"#ffffb2"
233,1,0.001089,"#ffffb2"
239,1,0.001089,"#ffffb2"
240,1,0.001089,"#ffffb2"
242,1,0.001089,"#ffffb2"
261,1,0.001089,"#ffffb2"
263,1,0.001089,"#ffffb2"
397,1,0.001089,"#ffffb2"
