"length","reads","rel","col"
21,1,0.000887,"#ffffb2"
29,1,0.000887,"#ffffb2"
31,1,0.000887,"#ffffb2"
34,7,0.006207,"#ffffb2"
35,10,0.008867,"#ffffb2"
36,19,0.016848,"#fed976"
37,18,0.015961,"#fed976"
38,16,0.014187,"#fed976"
39,8,0.007094,"#ffffb2"
40,5,0.004434,"#ffffb2"
50,1,0.000887,"#ffffb2"
52,1,0.000887,"#ffffb2"
56,2,0.001773,"#ffffb2"
57,1,0.000887,"#ffffb2"
58,3,0.00266,"#ffffb2"
59,5,0.004434,"#ffffb2"
60,7,0.006207,"#ffffb2"
61,3,0.00266,"#ffffb2"
62,3,0.00266,"#ffffb2"
73,1,0.000887,"#ffffb2"
108,1,0.000887,"#ffffb2"
115,3,0.00266,"#ffffb2"
116,5,0.004434,"#ffffb2"
117,17,0.015074,"#fed976"
118,8,0.007094,"#ffffb2"
119,7,0.006207,"#ffffb2"
120,4,0.003547,"#ffffb2"
121,2,0.001773,"#ffffb2"
122,2,0.001773,"#ffffb2"
171,2,0.001773,"#ffffb2"
177,3,0.00266,"#ffffb2"
180,1,0.000887,"#ffffb2"
182,4,0.003547,"#ffffb2"
183,4,0.003547,"#ffffb2"
184,3,0.00266,"#ffffb2"
185,3,0.00266,"#ffffb2"
186,10,0.008867,"#ffffb2"
187,18,0.015961,"#fed976"
188,50,0.044336,"#fed976"
189,538,0.477052,"#feb24c"
190,1573,1.3948,"#fd8d3c"
191,11345,10.059764,"#fc4e2a"
192,19095,16.931794,"#fc4e2a"
193,23355,20.709193,"#fc4e2a"
194,26145,23.183124,"#fc4e2a"
195,16904,14.989005,"#fc4e2a"
196,9303,8.249096,"#fd8d3c"
197,4182,3.708236,"#fd8d3c"
198,61,0.05409,"#fed976"
199,2,0.001773,"#ffffb2"
200,1,0.000887,"#ffffb2"
201,1,0.000887,"#ffffb2"
208,1,0.000887,"#ffffb2"
220,1,0.000887,"#ffffb2"
232,1,0.000887,"#ffffb2"
235,1,0.000887,"#ffffb2"
238,1,0.000887,"#ffffb2"
295,1,0.000887,"#ffffb2"
316,1,0.000887,"#ffffb2"
364,1,0.000887,"#ffffb2"
401,1,0.000887,"#ffffb2"
435,1,0.000887,"#ffffb2"
456,1,0.000887,"#ffffb2"
