"length","reads","rel","col"
36,2,0.001661,"#ffffb2"
37,6,0.004983,"#ffffb2"
38,2,0.001661,"#ffffb2"
41,1,0.00083,"#ffffb2"
56,2,0.001661,"#ffffb2"
57,3,0.002491,"#ffffb2"
58,3,0.002491,"#ffffb2"
59,2,0.001661,"#ffffb2"
60,3,0.002491,"#ffffb2"
61,2,0.001661,"#ffffb2"
86,2,0.001661,"#ffffb2"
87,1,0.00083,"#ffffb2"
108,1,0.00083,"#ffffb2"
153,1,0.00083,"#ffffb2"
169,1,0.00083,"#ffffb2"
175,1,0.00083,"#ffffb2"
179,2,0.001661,"#ffffb2"
181,2,0.001661,"#ffffb2"
182,3,0.002491,"#ffffb2"
183,4,0.003322,"#ffffb2"
185,6,0.004983,"#ffffb2"
186,8,0.006643,"#ffffb2"
187,11,0.009135,"#ffffb2"
188,38,0.031556,"#fed976"
189,370,0.307255,"#feb24c"
190,1229,1.020586,"#fd8d3c"
191,11496,9.546508,"#fd8d3c"
192,20143,16.727149,"#fc4e2a"
193,25097,20.841049,"#fc4e2a"
194,28164,23.387947,"#fc4e2a"
195,18579,15.428372,"#fc4e2a"
196,10458,8.684532,"#fd8d3c"
197,4718,3.917921,"#fd8d3c"
198,55,0.045673,"#fed976"
199,2,0.001661,"#ffffb2"
220,1,0.00083,"#ffffb2"
233,1,0.00083,"#ffffb2"
291,1,0.00083,"#ffffb2"
