"length","reads","rel","col"
27,2,0.00171,"#ffffb2"
28,1,0.000855,"#ffffb2"
29,2,0.00171,"#ffffb2"
33,2,0.00171,"#ffffb2"
34,25,0.021373,"#fed976"
35,43,0.036762,"#fed976"
36,50,0.042746,"#fed976"
37,58,0.049586,"#fed976"
38,44,0.037617,"#fed976"
39,23,0.019663,"#fed976"
40,11,0.009404,"#ffffb2"
41,1,0.000855,"#ffffb2"
56,11,0.009404,"#ffffb2"
57,43,0.036762,"#fed976"
58,51,0.043601,"#fed976"
59,70,0.059845,"#fed976"
60,79,0.067539,"#fed976"
61,43,0.036762,"#fed976"
62,25,0.021373,"#fed976"
63,5,0.004275,"#ffffb2"
65,1,0.000855,"#ffffb2"
66,1,0.000855,"#ffffb2"
69,1,0.000855,"#ffffb2"
74,1,0.000855,"#ffffb2"
76,1,0.000855,"#ffffb2"
78,1,0.000855,"#ffffb2"
86,1,0.000855,"#ffffb2"
94,1,0.000855,"#ffffb2"
95,2,0.00171,"#ffffb2"
103,2,0.00171,"#ffffb2"
104,6,0.00513,"#ffffb2"
114,1,0.000855,"#ffffb2"
115,1,0.000855,"#ffffb2"
117,3,0.002565,"#ffffb2"
118,1,0.000855,"#ffffb2"
123,2,0.00171,"#ffffb2"
124,1,0.000855,"#ffffb2"
126,2,0.00171,"#ffffb2"
140,2,0.00171,"#ffffb2"
141,1,0.000855,"#ffffb2"
143,1,0.000855,"#ffffb2"
146,1,0.000855,"#ffffb2"
149,1,0.000855,"#ffffb2"
151,1,0.000855,"#ffffb2"
164,1,0.000855,"#ffffb2"
168,1,0.000855,"#ffffb2"
169,1,0.000855,"#ffffb2"
173,1,0.000855,"#ffffb2"
176,1,0.000855,"#ffffb2"
177,1,0.000855,"#ffffb2"
178,1,0.000855,"#ffffb2"
180,2,0.00171,"#ffffb2"
181,8,0.006839,"#ffffb2"
182,9,0.007694,"#ffffb2"
183,14,0.011969,"#fed976"
184,22,0.018808,"#fed976"
185,15,0.012824,"#fed976"
186,15,0.012824,"#fed976"
187,12,0.010259,"#fed976"
188,42,0.035907,"#fed976"
189,401,0.342826,"#feb24c"
190,1523,1.302054,"#fd8d3c"
191,11322,9.679488,"#fd8d3c"
192,19716,16.855748,"#fc4e2a"
193,23863,20.401132,"#fc4e2a"
194,26960,23.048842,"#fc4e2a"
195,17864,15.272423,"#fc4e2a"
196,9844,8.415905,"#fd8d3c"
197,4523,3.866837,"#fd8d3c"
198,96,0.082073,"#fed976"
199,23,0.019663,"#fed976"
200,8,0.006839,"#ffffb2"
201,1,0.000855,"#ffffb2"
202,1,0.000855,"#ffffb2"
203,1,0.000855,"#ffffb2"
205,1,0.000855,"#ffffb2"
210,1,0.000855,"#ffffb2"
211,1,0.000855,"#ffffb2"
212,1,0.000855,"#ffffb2"
213,1,0.000855,"#ffffb2"
215,2,0.00171,"#ffffb2"
216,1,0.000855,"#ffffb2"
225,1,0.000855,"#ffffb2"
239,1,0.000855,"#ffffb2"
241,2,0.00171,"#ffffb2"
247,1,0.000855,"#ffffb2"
249,1,0.000855,"#ffffb2"
252,1,0.000855,"#ffffb2"
253,1,0.000855,"#ffffb2"
264,1,0.000855,"#ffffb2"
265,1,0.000855,"#ffffb2"
291,1,0.000855,"#ffffb2"
307,1,0.000855,"#ffffb2"
309,1,0.000855,"#ffffb2"
311,1,0.000855,"#ffffb2"
314,1,0.000855,"#ffffb2"
327,1,0.000855,"#ffffb2"
328,1,0.000855,"#ffffb2"
335,1,0.000855,"#ffffb2"
337,1,0.000855,"#ffffb2"
339,1,0.000855,"#ffffb2"
340,2,0.00171,"#ffffb2"
342,1,0.000855,"#ffffb2"
347,1,0.000855,"#ffffb2"
348,1,0.000855,"#ffffb2"
393,1,0.000855,"#ffffb2"
396,1,0.000855,"#ffffb2"
410,2,0.00171,"#ffffb2"
416,1,0.000855,"#ffffb2"
449,2,0.00171,"#ffffb2"
450,1,0.000855,"#ffffb2"
451,3,0.002565,"#ffffb2"
452,1,0.000855,"#ffffb2"
453,2,0.00171,"#ffffb2"
455,1,0.000855,"#ffffb2"
456,1,0.000855,"#ffffb2"
469,1,0.000855,"#ffffb2"
474,1,0.000855,"#ffffb2"
477,1,0.000855,"#ffffb2"
