"length","reads","rel","col"
9,1,0.000558,"#ffffb2"
10,3,0.001675,"#ffffb2"
11,4,0.002234,"#ffffb2"
12,3,0.001675,"#ffffb2"
13,4,0.002234,"#ffffb2"
14,52,0.029039,"#fed976"
15,64,0.03574,"#fed976"
16,79,0.044117,"#fed976"
17,128,0.07148,"#fed976"
18,14,0.007818,"#ffffb2"
19,20,0.011169,"#fed976"
20,16,0.008935,"#ffffb2"
21,24,0.013403,"#fed976"
22,15,0.008377,"#ffffb2"
23,40,0.022338,"#fed976"
24,74,0.041324,"#fed976"
25,216,0.120623,"#feb24c"
26,335,0.187077,"#feb24c"
27,331,0.184843,"#feb24c"
28,344,0.192103,"#feb24c"
29,271,0.151337,"#feb24c"
30,197,0.110012,"#feb24c"
31,190,0.106103,"#feb24c"
32,324,0.180934,"#feb24c"
33,1730,0.966097,"#feb24c"
34,14758,8.241424,"#fd8d3c"
35,21916,12.238721,"#fc4e2a"
36,30168,16.846949,"#fc4e2a"
37,39365,21.982901,"#fc4e2a"
38,29040,16.217031,"#fc4e2a"
39,19545,10.914665,"#fc4e2a"
40,9572,5.345366,"#fd8d3c"
41,236,0.131791,"#feb24c"
42,71,0.039649,"#fed976"
43,1,0.000558,"#ffffb2"
46,1,0.000558,"#ffffb2"
47,2,0.001117,"#ffffb2"
48,15,0.008377,"#ffffb2"
49,420,0.234544,"#feb24c"
50,717,0.4004,"#feb24c"
51,946,0.528282,"#feb24c"
52,1042,0.581892,"#feb24c"
53,727,0.405984,"#feb24c"
54,387,0.216115,"#feb24c"
55,188,0.104986,"#feb24c"
56,15,0.008377,"#ffffb2"
57,152,0.084883,"#fed976"
58,275,0.15357,"#feb24c"
59,343,0.191544,"#feb24c"
60,416,0.23231,"#feb24c"
61,241,0.134583,"#feb24c"
62,135,0.075389,"#fed976"
63,59,0.032948,"#fed976"
64,2,0.001117,"#ffffb2"
69,1,0.000558,"#ffffb2"
72,1,0.000558,"#ffffb2"
73,1,0.000558,"#ffffb2"
181,1,0.000558,"#ffffb2"
187,1,0.000558,"#ffffb2"
188,1,0.000558,"#ffffb2"
189,11,0.006143,"#ffffb2"
190,41,0.022896,"#fed976"
191,352,0.19657,"#feb24c"
192,633,0.353491,"#feb24c"
193,811,0.452893,"#feb24c"
194,884,0.493659,"#feb24c"
195,612,0.341764,"#feb24c"
196,317,0.177025,"#feb24c"
197,136,0.075948,"#fed976"
198,1,0.000558,"#ffffb2"
325,1,0.000558,"#ffffb2"
326,1,0.000558,"#ffffb2"
332,1,0.000558,"#ffffb2"
336,1,0.000558,"#ffffb2"
339,1,0.000558,"#ffffb2"
340,1,0.000558,"#ffffb2"
341,2,0.001117,"#ffffb2"
342,1,0.000558,"#ffffb2"
344,1,0.000558,"#ffffb2"
345,1,0.000558,"#ffffb2"
350,1,0.000558,"#ffffb2"
352,1,0.000558,"#ffffb2"
354,1,0.000558,"#ffffb2"
357,1,0.000558,"#ffffb2"
359,1,0.000558,"#ffffb2"
365,1,0.000558,"#ffffb2"
366,1,0.000558,"#ffffb2"
373,1,0.000558,"#ffffb2"
374,2,0.001117,"#ffffb2"
375,1,0.000558,"#ffffb2"
377,2,0.001117,"#ffffb2"
379,1,0.000558,"#ffffb2"
381,3,0.001675,"#ffffb2"
386,1,0.000558,"#ffffb2"
391,3,0.001675,"#ffffb2"
405,1,0.000558,"#ffffb2"
