"length","reads","rel","col"
33,1,0.001421,"#ffffb2"
34,3,0.004264,"#ffffb2"
36,1,0.001421,"#ffffb2"
37,1,0.001421,"#ffffb2"
38,1,0.001421,"#ffffb2"
40,2,0.002842,"#ffffb2"
41,1,0.001421,"#ffffb2"
50,1,0.001421,"#ffffb2"
52,1,0.001421,"#ffffb2"
54,1,0.001421,"#ffffb2"
55,1,0.001421,"#ffffb2"
57,1,0.001421,"#ffffb2"
72,2,0.002842,"#ffffb2"
73,1,0.001421,"#ffffb2"
74,1,0.001421,"#ffffb2"
164,3,0.004264,"#ffffb2"
165,2,0.002842,"#ffffb2"
166,3,0.004264,"#ffffb2"
167,6,0.008527,"#ffffb2"
168,5,0.007106,"#ffffb2"
169,5,0.007106,"#ffffb2"
170,6,0.008527,"#ffffb2"
171,5,0.007106,"#ffffb2"
172,13,0.018476,"#fed976"
173,4,0.005685,"#ffffb2"
174,5,0.007106,"#ffffb2"
175,3,0.004264,"#ffffb2"
176,11,0.015633,"#fed976"
177,7,0.009948,"#ffffb2"
178,14,0.019897,"#fed976"
179,18,0.025582,"#fed976"
180,15,0.021318,"#fed976"
181,17,0.02416,"#fed976"
182,16,0.022739,"#fed976"
183,15,0.021318,"#fed976"
184,13,0.018476,"#fed976"
185,32,0.045478,"#fed976"
186,54,0.076745,"#fed976"
187,67,0.09522,"#fed976"
188,67,0.09522,"#fed976"
189,64,0.090957,"#fed976"
190,227,0.322613,"#feb24c"
191,6203,8.815713,"#fd8d3c"
192,11091,15.762546,"#fc4e2a"
193,14305,20.330287,"#fc4e2a"
194,17039,24.215852,"#fc4e2a"
195,11248,15.985674,"#fc4e2a"
196,6586,9.360033,"#fd8d3c"
197,3134,4.454045,"#fd8d3c"
198,39,0.055427,"#fed976"
199,1,0.001421,"#ffffb2"
220,1,0.001421,"#ffffb2"
