"","Sample","Sequ_count_in","Sequ_count_out","pct_pass"
"1","BA_1_S92_PE_cut.fastq","177828",NA,NA
"2","BA_2_S61_PE_cut.fastq","75989",NA,NA
"3","BOU_1_S94_PE_cut.fastq","131608",NA,NA
"4","BOU_2_S80_PE_cut.fastq","98752",NA,NA
"5","CHILDS_1_S11_PE_cut.fastq","102032",NA,NA
"6","CHILDS_2_S12_PE_cut.fastq","83010",NA,NA
"7","CLR_1_S59_PE_cut.fastq","21570","10912","50.59"
"8","CLR_2_S60_PE_cut.fastq","3200",NA,NA
"9","COL_1_S86_PE_cut.fastq","80901",NA,NA
"10","COL_2_S81_PE_cut.fastq","78168","32597","41.7"
"11","CR_109_1_S31_PE_cut.fastq","84218",NA,NA
"12","CR_109_2_S32_PE_cut.fastq","94203",NA,NA
"13","CR_134_1_S33_PE_cut.fastq","96873",NA,NA
"14","CR_134_2_S34_PE_cut.fastq","77896",NA,NA
"15","CR_143_1_S35_PE_cut.fastq","103732",NA,NA
"16","CR_143_2_S36_PE_cut.fastq","81807",NA,NA
"17","CR_148_1_S37_PE_cut.fastq","85165",NA,NA
"18","CR_148_2_S38_PE_cut.fastq","104709",NA,NA
"19","CR_157_1_S39_PE_cut.fastq","96860",NA,NA
"20","CR_157_2_S40_PE_cut.fastq","97594",NA,NA
"21","CR_180_1_S41_PE_cut.fastq","101728",NA,NA
"22","CR_180_2_S42_PE_cut.fastq","13774",NA,NA
"23","CR_204_1_S43_PE_cut.fastq","107494","60349","56.14"
"24","CR_204_2_S44_PE_cut.fastq","87604",NA,NA
"25","CR_216_1_S45_PE_cut.fastq",NA,NA,NA
"26","CR_216_2_S46_PE_cut.fastq","195156",NA,NA
"27","CR_226_1_S47_PE_cut.fastq","89974",NA,NA
"28","CR_226_2_S48_PE_cut.fastq","140563","75292","53.56"
"29","CR_229_1_S49_PE_cut.fastq","67646",NA,NA
"30","CR_229_2_S50_PE_cut.fastq","115640","55278","47.8"
"31","CR_246_1_S51_PE_cut.fastq","106422",NA,NA
"32","CR_246_2_S52_PE_cut.fastq","84257","39036","46.33"
"33","CR_275_1_S53_PE_cut.fastq","82441","44980","54.56"
"34","CR_275_2_S54_PE_cut.fastq","126636","66943","52.86"
"35","CR_52_1_S23_PE_cut.fastq","81566",NA,NA
"36","CR_52_2_S24_PE_cut.fastq","94378",NA,NA
"37","CR_61_1_S90_PE_cut.fastq","133897",NA,NA
"38","CR_61_2_S25_PE_cut.fastq","70840",NA,NA
"39","CR_84_1_S91_PE_cut.fastq","159647",NA,NA
"40","CR_84_2_S26_PE_cut.fastq","114294","49028","42.9"
"41","CR_94_1_S27_PE_cut.fastq","89476",NA,NA
"42","CR_94_2_S28_PE_cut.fastq","147291",NA,NA
"43","CR_97_1_S29_PE_cut.fastq",NA,NA,NA
"44","CR_97_2_S30_PE_cut.fastq","105490",NA,NA
"45","DIA_1_S79_PE_cut.fastq","104619",NA,NA
"46","DIA_2_S88_PE_cut.fastq","83524",NA,NA
"47","FCW_1_S3_PE_cut.fastq","107785",NA,NA
"48","FCW_2_S4_PE_cut.fastq","94489",NA,NA
"49","HAV_1_S71_PE_cut.fastq","74903",NA,NA
"50","HAV_2_S72_PE_cut.fastq","151392","78744","52.01"
"51","HER_1_S93_PE_cut.fastq","153627",NA,NA
"52","HER_2_S62_PE_cut.fastq","107189",NA,NA
"53","KAN_1_S67_PE_cut.fastq","108567","57556","53.01"
"54","KAN_2_S68_PE_cut.fastq","120199",NA,NA
"55","LCR_1_S57_PE_cut.fastq","117739","63377","53.83"
"56","LCR_2_S58_PE_cut.fastq","85356",NA,NA
"57","LF_1_S73_PE_cut.fastq","125839","52380","41.62"
"58","LF_2_S74_PE_cut.fastq","156474","68948","44.06"
"59","MAT_1_S69_PE_cut.fastq","85788",NA,NA
"60","MAT_2_S70_PE_cut.fastq","83436",NA,NA
"61","NANK_1_S55_PE_cut.fastq","69800","37689","54"
"62","NANK_2_S56_PE_cut.fastq","85042",NA,NA
"63","neg_Control_S89_PE_cut.fastq","179071",NA,NA
"64","pos_Control_S87_PE_cut.fastq","70363",NA,NA
"65","RM_20_1_S19_PE_cut.fastq","80841",NA,NA
"66","RM_20_2_S20_PE_cut.fastq","68531",NA,NA
"67","RM_88_1_S21_PE_cut.fastq","60630",NA,NA
"68","RM_88_2_S22_PE_cut.fastq","93823",NA,NA
"69","SC_1_S13_PE_cut.fastq","113284",NA,NA
"70","SC_2_S14_PE_cut.fastq","104046",NA,NA
"71","SCGC_1_S75_PE_cut.fastq","83070",NA,NA
"72","SCGC_2_S76_PE_cut.fastq","95113",NA,NA
"73","SHI_1_S63_PE_cut.fastq","101476",NA,NA
"74","SHI_2_S64_PE_cut.fastq","103786",NA,NA
"75","SPE_1_S84_PE_cut.fastq","87108",NA,NA
"76","SPE_2_S85_PE_cut.fastq","114204",NA,NA
"77","TAP_1_S65_PE_cut.fastq","72468",NA,NA
"78","TAP_2_S66_PE_cut.fastq","74764",NA,NA
"79","TCDW_1_S7_PE_cut.fastq","90899",NA,NA
