"","ID","Abundance","pct_pass"
"1","BA_1_S92_PE",104489,"85.53"
"2","BA_2_S61_PE",45409,"88.35"
"3","BOU_1_S94_PE",72439,"87.12"
"4","BOU_2_S80_PE",55840,"92.99"
"5","CLR_1_S59_PE",5896,"96.64"
"6","CLR_2_S60_PE",1514,"97.07"
"7","COL_1_S86_PE",44029,"90.00"
"8","COL_2_S81_PE",31419,"97.60"
"9","CR_109_1_S31_PE",50043,"89.04"
"10","CR_109_2_S32_PE",55376,"88.94"
"11","CR_134_1_S33_PE",58200,"92.43"
"12","CR_134_2_S34_PE",41355,"93.33"
"13","CR_143_1_S35_PE",61744,"89.50"
"14","CR_143_2_S36_PE",47015,"91.43"
"15","CR_148_1_S37_PE",50433,"88.71"
"16","CR_148_2_S38_PE",62360,"92.57"
"17","CR_157_1_S39_PE",56786,"89.29"
"18","CR_157_2_S40_PE",54337,"88.95"
"19","CR_180_1_S41_PE",53979,"90.38"
"20","CR_180_2_S42_PE",7669,"95.71"
"21","CR_204_1_S43_PE",62449,"90.58"
"22","CR_204_2_S44_PE",48613,"91.24"
"23","CR_216_1_S45",0,"empty fasta file"
"24","CR_216_2_S46_PE",107288,"88.34"
"25","CR_226_1_S47_PE",48806,"90.70"
"26","CR_226_2_S48_PE",67289,"87.69"
"27","CR_229_1_S49_PE",37983,"91.42"
"28","CR_229_2_S50_PE",33021,"95.58"
"29","CR_246_1_S51_PE",55553,"89.55"
"30","CR_246_2_S52_PE",35784,"93.36"
"31","CR_275_1_S53_PE",36279,"94.30"
"32","CR_275_2_S54_PE",51587,"91.09"
"33","CR_52_1_S23_PE",48313,"89.58"
"34","CR_52_2_S24_PE",56153,"87.57"
"35","CR_61_1_S90_PE",77998,"84.49"
"36","CR_61_2_S25_PE",42422,"91.63"
"37","CR_84_1_S91_PE",92487,"88.22"
"38","CR_84_2_S26_PE",40303,"91.92"
"39","CR_94_1_S27_PE",53514,"90.82"
"40","CR_94_2_S28_PE",88349,"93.47"
"41","CR_97_1_S29",0,"empty fasta file"
"42","CR_97_2_S30_PE",61339,"90.27"
"43","DIA_1_S79_PE",60931,"86.10"
"44","DIA_2_S88_PE",48864,"85.13"
"45","HAV_1_S71_PE",44282,"93.87"
"46","HAV_2_S72_PE",79797,"88.76"
"47","HER_1_S93_PE",85747,"89.82"
"48","HER_2_S62_PE",63018,"89.71"
"49","KAN_1_S67_PE",60490,"87.02"
"50","KAN_2_S68_PE",63861,"86.14"
"51","LCR_1_S57_PE",68973,"85.64"
"52","LCR_2_S58_PE",50668,"88.06"
"53","LF_1_S73_PE",36558,"92.57"
"54","LF_2_S74_PE",28585,"93.23"
"55","MAT_1_S69_PE",50451,"89.40"
"56","MAT_2_S70_PE",49298,"89.83"
"57","NANK_1_S55_PE",41066,"86.87"
"58","NANK_2_S56_PE",50034,"85.39"
"59","RM_20_1_S19_PE",47815,"91.71"
"60","RM_20_2_S20_PE",40673,"92.53"
"61","RM_88_1_S21_PE",36154,"89.78"
"62","RM_88_2_S22_PE",55293,"90.30"
"63","SC_1_S13_PE",66182,"86.27"
"64","SCGC_1_S75_PE",49186,"90.09"
"65","SHI_1_S63_PE",60044,"84.62"
"66","SHI_2_S64_PE",61470,"84.19"
"67","SPE_1_S84_PE",51481,"89.07"
"68","SPE_2_S85_PE",65705,"87.72"
"69","TAP_1_S65_PE",43092,"88.82"
"70","TAP_2_S66_PE",43657,"88.88"
"71","TRA_1_S82_PE",56498,"87.57"
"72","TRA_2_S83_PE",62089,"87.34"
"73","TS_1_S77_PE",80046,"86.41"
"74","TS_2_S78_PE",57544,"89.14"
