"","ID","Abundance","pct_pass"
"1","CHILDS_1_S11_PE",60988,"90.90"
"2","CHILDS_2_S12_PE",49081,"89.83"
"3","FCW_1_S3_PE",63936,"88.13"
"4","FCW_2_S4_PE",55975,"87.50"
"5","SC_2_S14_PE",61186,"86.63"
"6","SCGC_2_S76_PE",56081,"89.66"
"7","TCDW_1_S7_PE",53255,"83.55"
"8","TCDW_2_S8_PE",65220,"80.85"
"9","VRBF_1_S9_PE",54853,"88.27"
"10","VRBF_2_S10_PE",49684,"89.69"
"11","VRSB_1_S5_PE",66381,"88.38"
"12","VRSB_2_S6_PE",54890,"88.27"
"13","WBC_1_S17_PE",66312,"83.43"
"14","WBC_2_S18_PE",49897,"86.28"
"15","WCC_1_S1_PE",70376,"81.43"
"16","WCC_2_S2_PE",72743,"83.59"
"17","WFOC_1_S15_PE",68359,"86.88"
"18","WFOC_2_S16_PE",64310,"87.17"
