"","Sample","Sequ_count_in","Sequ_count_out","pct_pass"
"1","BA_1_S92_R1_cut.fastq","190092",NA,NA
"2","BA_1_S92_R2_cut.fastq","190092",NA,NA
"3","BA_2_S61_R1_cut.fastq","80975",NA,NA
"4","BA_2_S61_R2_cut.fastq","80975",NA,NA
"5","BOU_1_S94_R1_cut.fastq","140743",NA,NA
"6","BOU_1_S94_R2_cut.fastq","140743",NA,NA
"7","BOU_2_S80_R1_cut.fastq","105213",NA,NA
"8","BOU_2_S80_R2_cut.fastq","105213",NA,NA
"9","CHILDS_1_S11_R1_cut.fastq","110368",NA,NA
"10","CHILDS_1_S11_R2_cut.fastq","110368",NA,NA
"11","CHILDS_2_S12_R1_cut.fastq","89876",NA,NA
"12","CHILDS_2_S12_R2_cut.fastq","89876",NA,NA
"13","CLR_1_S59_R1_cut.fastq","23686",NA,NA
"14","CLR_1_S59_R2_cut.fastq","23686",NA,NA
"15","CLR_2_S60_R1_cut.fastq","3637",NA,NA
"16","CLR_2_S60_R2_cut.fastq","3637",NA,NA
"17","COL_1_S86_R1_cut.fastq","87676",NA,NA
"18","COL_1_S86_R2_cut.fastq","87676",NA,NA
"19","COL_2_S81_R1_cut.fastq","84408",NA,NA
"20","COL_2_S81_R2_cut.fastq","84408",NA,NA
"21","CR_109_1_S31_R1_cut.fastq","89356",NA,NA
"22","CR_109_1_S31_R2_cut.fastq","89356",NA,NA
"23","CR_109_2_S32_R1_cut.fastq","100692",NA,NA
"24","CR_109_2_S32_R2_cut.fastq","100692",NA,NA
"25","CR_134_1_S33_R1_cut.fastq","102986",NA,NA
"26","CR_134_1_S33_R2_cut.fastq","102986",NA,NA
"27","CR_134_2_S34_R1_cut.fastq","83741",NA,NA
"28","CR_134_2_S34_R2_cut.fastq","83741",NA,NA
"29","CR_143_1_S35_R1_cut.fastq","110459",NA,NA
"30","CR_143_1_S35_R2_cut.fastq","110459",NA,NA
"31","CR_143_2_S36_R1_cut.fastq","87449",NA,NA
"32","CR_143_2_S36_R2_cut.fastq","87449",NA,NA
"33","CR_148_1_S37_R1_cut.fastq","90913",NA,NA
"34","CR_148_1_S37_R2_cut.fastq","90913",NA,NA
"35","CR_148_2_S38_R1_cut.fastq","111430",NA,NA
"36","CR_148_2_S38_R2_cut.fastq","111430",NA,NA
"37","CR_157_1_S39_R1_cut.fastq","103480",NA,NA
"38","CR_157_1_S39_R2_cut.fastq","103480",NA,NA
"39","CR_157_2_S40_R1_cut.fastq","104147",NA,NA
"40","CR_157_2_S40_R2_cut.fastq","104147",NA,NA
"41","CR_180_1_S41_R1_cut.fastq","108673",NA,NA
"42","CR_180_1_S41_R2_cut.fastq","108673",NA,NA
"43","CR_180_2_S42_R1_cut.fastq","14730",NA,NA
"44","CR_180_2_S42_R2_cut.fastq","14730",NA,NA
"45","CR_204_1_S43_R1_cut.fastq","114466",NA,NA
"46","CR_204_1_S43_R2_cut.fastq","114466",NA,NA
"47","CR_204_2_S44_R1_cut.fastq","93936",NA,NA
"48","CR_204_2_S44_R2_cut.fastq","93936",NA,NA
"49","CR_216_1_S45_R1_cut.fastq",NA,NA,NA
"50","CR_216_1_S45_R2_cut.fastq",NA,NA,NA
"51","CR_216_2_S46_R1_cut.fastq","208068",NA,NA
"52","CR_216_2_S46_R2_cut.fastq","208068",NA,NA
"53","CR_226_1_S47_R1_cut.fastq","96289",NA,NA
"54","CR_226_1_S47_R2_cut.fastq","96289",NA,NA
"55","CR_226_2_S48_R1_cut.fastq","150394",NA,NA
"56","CR_226_2_S48_R2_cut.fastq","150394",NA,NA
"57","CR_229_1_S49_R1_cut.fastq","72463",NA,NA
"58","CR_229_1_S49_R2_cut.fastq","72463",NA,NA
"59","CR_229_2_S50_R1_cut.fastq","124824",NA,NA
"60","CR_229_2_S50_R2_cut.fastq","124824",NA,NA
"61","CR_246_1_S51_R1_cut.fastq","116434",NA,NA
"62","CR_246_1_S51_R2_cut.fastq","116434",NA,NA
"63","CR_246_2_S52_R1_cut.fastq","90517",NA,NA
"64","CR_246_2_S52_R2_cut.fastq","90517","0","0"
"65","CR_275_1_S53_R1_cut.fastq","88672",NA,NA
"66","CR_275_1_S53_R2_cut.fastq","88672","0","0"
"67","CR_275_2_S54_R1_cut.fastq","135641",NA,NA
"68","CR_275_2_S54_R2_cut.fastq","135641","3","0"
"69","CR_52_1_S23_R1_cut.fastq","87033",NA,NA
"70","CR_52_1_S23_R2_cut.fastq","87033",NA,NA
"71","CR_52_2_S24_R1_cut.fastq","100836",NA,NA
"72","CR_52_2_S24_R2_cut.fastq","100836",NA,NA
"73","CR_61_1_S90_R1_cut.fastq","142656",NA,NA
"74","CR_61_1_S90_R2_cut.fastq","142656",NA,NA
"75","CR_61_2_S25_R1_cut.fastq","75818",NA,NA
"76","CR_61_2_S25_R2_cut.fastq","75818",NA,NA
"77","CR_84_1_S91_R1_cut.fastq","170566",NA,NA
