##########
2021-12-23 14:31:47
PROCESSING MODULE:
A_Cutadapt

Module Version: v0.2


Using Version: Cutadapt v3.5
Starting to remove adapters (primers) on both ends in 190 files:
Notice: Option "bothsides" enabled, will also trim adapters on reverse complements and orientate all sequences in the same forward direction.
A_Cutadapt/_data/BA_1_S92_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/BA_1_S92_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/BA_2_S61_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/BA_2_S61_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/BOU_1_S94_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/BOU_1_S94_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/BOU_2_S80_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/BOU_2_S80_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CHILDS_1_S11_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CHILDS_1_S11_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CHILDS_2_S12_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CHILDS_2_S12_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CLR_1_S59_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CLR_1_S59_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CLR_2_S60_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CLR_2_S60_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/COL_1_S86_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/COL_1_S86_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/COL_2_S81_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/COL_2_S81_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_109_1_S31_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_109_1_S31_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_109_2_S32_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_109_2_S32_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_134_1_S33_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_134_1_S33_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_134_2_S34_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_134_2_S34_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_143_1_S35_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_143_1_S35_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_143_2_S36_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_143_2_S36_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_148_1_S37_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_148_1_S37_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_148_2_S38_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_148_2_S38_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_157_1_S39_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_157_1_S39_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_157_2_S40_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_157_2_S40_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_180_1_S41_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_180_1_S41_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_180_2_S42_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_180_2_S42_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_204_1_S43_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_204_1_S43_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_204_2_S44_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_204_2_S44_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_216_1_S45_R1_cut.fastq - NA% reads passed (NA% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_216_1_S45_R2_cut.fastq - NA% reads passed (NA% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_216_2_S46_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_216_2_S46_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_226_1_S47_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_226_1_S47_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_226_2_S48_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_226_2_S48_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_229_1_S49_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_229_1_S49_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_229_2_S50_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_229_2_S50_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_246_1_S51_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_246_1_S51_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_246_2_S52_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_246_2_S52_R2_cut.fastq - 0% reads passed (0% forward + 0% reverse orientation)
A_Cutadapt/_data/CR_275_1_S53_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_275_1_S53_R2_cut.fastq - 0% reads passed (0% forward + 0% reverse orientation)
A_Cutadapt/_data/CR_275_2_S54_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_275_2_S54_R2_cut.fastq - 0% reads passed (0% forward + 0% reverse orientation)
A_Cutadapt/_data/CR_52_1_S23_R1_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
A_Cutadapt/_data/CR_52_1_S23_R2_cut.fastq - NA% reads passed (0% forward + NA% reverse orientation)
