"","Sample","Sequ_count_in","Sequ_count_out","pct_pass"
"1","BA_1_S92_R1_cut.fastq","190092","141024","74.19"
"2","BA_2_S61_R1_cut.fastq","80975","60877","75.18"
"3","BOU_1_S94_R1_cut.fastq","140743","99576","70.75"
"4","BOU_2_S80_R1_cut.fastq","105213","77593","73.75"
"5","CHILDS_1_S11_R1_cut.fastq","110368","83065","75.26"
"6","CHILDS_2_S12_R1_cut.fastq","89876","67412","75.01"
"7","CLR_1_S59_R1_cut.fastq","23686","16556","69.9"
"8","CLR_2_S60_R1_cut.fastq","3637","2336","64.23"
"9","COL_1_S86_R1_cut.fastq","87676","64124","73.14"
"10","COL_2_S81_R1_cut.fastq","84408","49524","58.67"
"11","CR_109_1_S31_R1_cut.fastq","89356","67331","75.35"
"12","CR_109_2_S32_R1_cut.fastq","100692","75020","74.5"
"13","CR_134_1_S33_R1_cut.fastq","102986","77611","75.36"
"14","CR_134_2_S34_R1_cut.fastq","83741","59366","70.89"
"15","CR_143_1_S35_R1_cut.fastq","110459","83054","75.19"
"16","CR_143_2_S36_R1_cut.fastq","87449","64499","73.76"
"17","CR_148_1_S37_R1_cut.fastq","90913","67947","74.74"
"18","CR_148_2_S38_R1_cut.fastq","111430","83381","74.83"
"19","CR_157_1_S39_R1_cut.fastq","103480","77108","74.51"
"20","CR_157_2_S40_R1_cut.fastq","104147","76347","73.31"
"21","CR_180_1_S41_R1_cut.fastq","108673","76749","70.62"
"22","CR_180_2_S42_R1_cut.fastq","14730","10461","71.02"
"23","CR_204_1_S43_R1_cut.fastq","114466","84420","73.75"
"24","CR_204_2_S44_R1_cut.fastq","93936","67063","71.39"
"25","CR_216_1_S45_R1_cut.fastq",NA,NA,NA
"26","CR_216_2_S46_R1_cut.fastq","208068","153567","73.81"
"27","CR_226_1_S47_R1_cut.fastq","96289","69637","72.32"
"28","CR_226_2_S48_R1_cut.fastq","150394","110925","73.76"
"29","CR_229_1_S49_R1_cut.fastq","72463","53048","73.21"
"30","CR_229_2_S50_R1_cut.fastq","124824","85159","68.22"
"31","CR_246_1_S51_R1_cut.fastq","116434","82655","70.99"
"32","CR_246_2_S52_R1_cut.fastq","90517","60143","66.44"
"33","CR_275_1_S53_R1_cut.fastq","88672","65971","74.4"
"34","CR_275_2_S54_R1_cut.fastq","135641","100797","74.31"
"35","CR_52_1_S23_R1_cut.fastq","87033","65465","75.22"
"36","CR_52_2_S24_R1_cut.fastq","100836","75660","75.03"
"37","CR_61_1_S90_R1_cut.fastq","142656","106187","74.44"
"38","CR_61_2_S25_R1_cut.fastq","75818","56744","74.84"
"39","CR_84_1_S91_R1_cut.fastq","170566","125237","73.42"
"40","CR_84_2_S26_R1_cut.fastq","122832","78403","63.83"
"41","CR_94_1_S27_R1_cut.fastq","95297","71477","75"
"42","CR_94_2_S28_R1_cut.fastq","157317","117548","74.72"
"43","CR_97_1_S29_R1_cut.fastq",NA,NA,NA
"44","CR_97_2_S30_R1_cut.fastq","112707","83644","74.21"
"45","DIA_1_S79_R1_cut.fastq","111859","83773","74.89"
"46","DIA_2_S88_R1_cut.fastq","88994","66978","75.26"
"47","FCW_1_S3_R1_cut.fastq","114891","86798","75.55"
"48","FCW_2_S4_R1_cut.fastq","100697","75896","75.37"
"49","HAV_1_S71_R1_cut.fastq","80291","59881","74.58"
"50","HAV_2_S72_R1_cut.fastq","163039","120214","73.73"
"51","HER_1_S93_R1_cut.fastq","163538","116634","71.32"
"52","HER_2_S62_R1_cut.fastq","114377","85524","74.77"
"53","KAN_1_S67_R1_cut.fastq","116006","85793","73.96"
"54","KAN_2_S68_R1_cut.fastq","128352","94750","73.82"
"55","LCR_1_S57_R1_cut.fastq","125563","94313","75.11"
"56","LCR_2_S58_R1_cut.fastq","90978","68778","75.6"
"57","LF_1_S73_R1_cut.fastq","135608","83361","61.47"
"58","LF_2_S74_R1_cut.fastq","168893","110862","65.64"
"59","MAT_1_S69_R1_cut.fastq","91913","68841","74.9"
"60","MAT_2_S70_R1_cut.fastq","88999","66845","75.11"
"61","NANK_1_S55_R1_cut.fastq","74675","55991","74.98"
"62","NANK_2_S56_R1_cut.fastq","90794","68189","75.1"
"63","neg_Control_S89_R1_cut.fastq","193900","26100","13.46"
"64","pos_Control_S87_R1_cut.fastq","75155","55996","74.51"
"65","RM_20_1_S19_R1_cut.fastq","86559","65173","75.29"
"66","RM_20_2_S20_R1_cut.fastq","73885","55280","74.82"
"67","RM_88_1_S21_R1_cut.fastq","64729","48510","74.94"
"68","RM_88_2_S22_R1_cut.fastq","100135","75064","74.96"
"69","SC_1_S13_R1_cut.fastq","121077","90464","74.72"
"70","SC_2_S14_R1_cut.fastq","111343","83730","75.2"
"71","SCGC_1_S75_R1_cut.fastq","88680","66479","74.97"
"72","SCGC_2_S76_R1_cut.fastq","101577","76001","74.82"
"73","SHI_1_S63_R1_cut.fastq","107975","81529","75.51"
"74","SHI_2_S64_R1_cut.fastq","111348","83419","74.92"
"75","SPE_1_S84_R1_cut.fastq","92927","69434","74.72"
"76","SPE_2_S85_R1_cut.fastq","121772","90466","74.29"
"77","TAP_1_S65_R1_cut.fastq","77296","58175","75.26"
"78","TAP_2_S66_R1_cut.fastq","79767","59591","74.71"
"79","TCDW_1_S7_R1_cut.fastq","97122","73257","75.43"
"80","TCDW_2_S8_R1_cut.fastq","119542","90169","75.43"
"81","TRA_1_S82_R1_cut.fastq","108678","79637","73.28"
"82","TRA_2_S83_R1_cut.fastq","120038","87069","72.53"
"83","TS_1_S77_R1_cut.fastq","157087","115689","73.65"
"84","TS_2_S78_R1_cut.fastq","108142","79757","73.75"
"85","Undetermined_S0_R1_cut.fastq","779703","181296","23.25"
"86","VRBF_1_S9_R1_cut.fastq","100008","75065","75.06"
"87","VRBF_2_S10_R1_cut.fastq","90824","68466","75.38"
"88","VRSB_1_S5_R1_cut.fastq","121100","91167","75.28"
"89","VRSB_2_S6_R1_cut.fastq","97878","73538","75.13"
"90","WBC_1_S17_R1_cut.fastq","120410","90873","75.47"
"91","WBC_2_S18_R1_cut.fastq","90167","67965","75.38"
"92","WCC_1_S1_R1_cut.fastq","128700","97043","75.4"
"93","WCC_2_S2_R1_cut.fastq","132103","99269","75.15"
"94","WFOC_1_S15_R1_cut.fastq","125140","93776","74.94"
"95","WFOC_2_S16_R1_cut.fastq","117605","88541","75.29"
