"","Sample","Sequ_count_in","Sequ_count_out","pct_pass"
"1","BA_1_S92_R2_cut.fastq","190092","140126","73.71"
"2","BA_2_S61_R2_cut.fastq","80975","59287","73.22"
"3","BOU_1_S94_R2_cut.fastq","140743","101162","71.88"
"4","BOU_2_S80_R2_cut.fastq","105213","77061","73.24"
"5","CHILDS_1_S11_R2_cut.fastq","110368","81484","73.83"
"6","CHILDS_2_S12_R2_cut.fastq","89876","65812","73.23"
"7","CLR_1_S59_R2_cut.fastq","23686","16587","70.03"
"8","CLR_2_S60_R2_cut.fastq","3637","2421","66.57"
"9","COL_1_S86_R2_cut.fastq","87676","62463","71.24"
"10","COL_2_S81_R2_cut.fastq","84408","53578","63.48"
"11","CR_109_1_S31_R2_cut.fastq","89356","65567","73.38"
"12","CR_109_2_S32_R2_cut.fastq","100692","73743","73.24"
"13","CR_134_1_S33_R2_cut.fastq","102986","76319","74.11"
"14","CR_134_2_S34_R2_cut.fastq","83741","58563","69.93"
"15","CR_143_1_S35_R2_cut.fastq","110459","81340","73.64"
"16","CR_143_2_S36_R2_cut.fastq","87449","62455","71.42"
"17","CR_148_1_S37_R2_cut.fastq","90913","66497","73.14"
"18","CR_148_2_S38_R2_cut.fastq","111430","81529","73.17"
"19","CR_157_1_S39_R2_cut.fastq","103480","75857","73.31"
"20","CR_157_2_S40_R2_cut.fastq","104147","75475","72.47"
"21","CR_180_1_S41_R2_cut.fastq","108673","77396","71.22"
"22","CR_180_2_S42_R2_cut.fastq","14730","10495","71.25"
"23","CR_204_1_S43_R2_cut.fastq","114466","83223","72.71"
"24","CR_204_2_S44_R2_cut.fastq","93936","66066","70.33"
"25","CR_216_1_S45_R2_cut.fastq",NA,NA,NA
"26","CR_216_2_S46_R2_cut.fastq","208068","150090","72.14"
"27","CR_226_1_S47_R2_cut.fastq","96289","68461","71.1"
"28","CR_226_2_S48_R2_cut.fastq","150394","109206","72.61"
"29","CR_229_1_S49_R2_cut.fastq","72463","51613","71.23"
"30","CR_229_2_S50_R2_cut.fastq","124824","86130","69"
"31","CR_246_1_S51_R2_cut.fastq","116434","76997","66.13"
"32","CR_246_2_S52_R2_cut.fastq","90517","64065","70.78"
"33","CR_275_1_S53_R2_cut.fastq","88672","64459","72.69"
"34","CR_275_2_S54_R2_cut.fastq","135641","98929","72.93"
"35","CR_52_1_S23_R2_cut.fastq","87033","63743","73.24"
"36","CR_52_2_S24_R2_cut.fastq","100836","74663","74.04"
"37","CR_61_1_S90_R2_cut.fastq","142656","105166","73.72"
"38","CR_61_2_S25_R2_cut.fastq","75818","55142","72.73"
"39","CR_84_1_S91_R2_cut.fastq","170566","124814","73.18"
"40","CR_84_2_S26_R2_cut.fastq","122832","83260","67.78"
"41","CR_94_1_S27_R2_cut.fastq","95297","70795","74.29"
"42","CR_94_2_S28_R2_cut.fastq","157317","115890","73.67"
"43","CR_97_1_S29_R2_cut.fastq",NA,NA,NA
"44","CR_97_2_S30_R2_cut.fastq","112707","82303","73.02"
"45","DIA_1_S79_R2_cut.fastq","111859","82266","73.54"
"46","DIA_2_S88_R2_cut.fastq","88994","65200","73.26"
"47","FCW_1_S3_R2_cut.fastq","114891","84956","73.94"
"48","FCW_2_S4_R2_cut.fastq","100697","74385","73.87"
"49","HAV_1_S71_R2_cut.fastq","80291","58668","73.07"
"50","HAV_2_S72_R2_cut.fastq","163039","119675","73.4"
"51","HER_1_S93_R2_cut.fastq","163538","117263","71.7"
"52","HER_2_S62_R2_cut.fastq","114377","84067","73.5"
"53","KAN_1_S67_R2_cut.fastq","116006","85102","73.36"
"54","KAN_2_S68_R2_cut.fastq","128352","93418","72.78"
"55","LCR_1_S57_R2_cut.fastq","125563","93089","74.14"
"56","LCR_2_S58_R2_cut.fastq","90978","66365","72.95"
"57","LF_1_S73_R2_cut.fastq","135608","94455","69.65"
"58","LF_2_S74_R2_cut.fastq","168893","118005","69.87"
"59","MAT_1_S69_R2_cut.fastq","91913","67463","73.4"
"60","MAT_2_S70_R2_cut.fastq","88999","65685","73.8"
"61","NANK_1_S55_R2_cut.fastq","74675","54959","73.6"
"62","NANK_2_S56_R2_cut.fastq","90794","66742","73.51"
