"","Sample","Sequ_count_in","Sequ_count_out","pct_pass"
"1","BA_1_S92_PE_cut.fastq","177828","108023","60.75"
"2","BA_2_S61_PE_cut.fastq","75989","46444","61.12"
"3","BOU_1_S94_PE_cut.fastq","131608","75084","57.05"
"4","BOU_2_S80_PE_cut.fastq","98752","58952","59.7"
"5","CHILDS_1_S11_PE_cut.fastq","102032","62349","61.11"
"6","CHILDS_2_S12_PE_cut.fastq","83010","50690","61.06"
"7","CLR_1_S59_PE_cut.fastq","21570","12061","55.92"
"8","CLR_2_S60_PE_cut.fastq","3200","1728","54"
"9","COL_1_S86_PE_cut.fastq","80901","46758","57.8"
"10","COL_2_S81_PE_cut.fastq","78168","34118","43.65"
"11","CR_109_1_S31_PE_cut.fastq","84218","51287","60.9"
"12","CR_109_2_S32_PE_cut.fastq","94203","57223","60.74"
"13","CR_134_1_S33_PE_cut.fastq","96873","59284","61.2"
"14","CR_134_2_S34_PE_cut.fastq","77896","43872","56.32"
"15","CR_143_1_S35_PE_cut.fastq","103732","63131","60.86"
"16","CR_143_2_S36_PE_cut.fastq","81807","48581","59.38"
"17","CR_148_1_S37_PE_cut.fastq","85165","51834","60.86"
"18","CR_148_2_S38_PE_cut.fastq","104709","63307","60.46"
"19","CR_157_1_S39_PE_cut.fastq","96860","58417","60.31"
"20","CR_157_2_S40_PE_cut.fastq","97594","57591","59.01"
"21","CR_180_1_S41_PE_cut.fastq","101728","57238","56.27"
"22","CR_180_2_S42_PE_cut.fastq","13774","7820","56.77"
"23","CR_204_1_S43_PE_cut.fastq","107494","63672","59.23"
"24","CR_204_2_S44_PE_cut.fastq","87604","49976","57.05"
"25","CR_216_1_S45_PE_cut.fastq",NA,NA,NA
"26","CR_216_2_S46_PE_cut.fastq","195156","115744","59.31"
"27","CR_226_1_S47_PE_cut.fastq","89974","52242","58.06"
"28","CR_226_2_S48_PE_cut.fastq","140563","83215","59.2"
"29","CR_229_1_S49_PE_cut.fastq","67646","39913","59"
"30","CR_229_2_S50_PE_cut.fastq","115640","60851","52.62"
"31","CR_246_1_S51_PE_cut.fastq","106422","59956","56.34"
"32","CR_246_2_S52_PE_cut.fastq","84257","44620","52.96"
"33","CR_275_1_S53_PE_cut.fastq","82441","49602","60.17"
"34","CR_275_2_S54_PE_cut.fastq","126636","75492","59.61"
"35","CR_52_1_S23_PE_cut.fastq","81566","49728","60.97"
"36","CR_52_2_S24_PE_cut.fastq","94378","57975","61.43"
"37","CR_61_1_S90_PE_cut.fastq","133897","81414","60.8"
"38","CR_61_2_S25_PE_cut.fastq","70840","43304","61.13"
"39","CR_84_1_S91_PE_cut.fastq","159647","95518","59.83"
"40","CR_84_2_S26_PE_cut.fastq","114294","56550","49.48"
"41","CR_94_1_S27_PE_cut.fastq","89476","54661","61.09"
"42","CR_94_2_S28_PE_cut.fastq","147291","90059","61.14"
"43","CR_97_1_S29_PE_cut.fastq",NA,NA,NA
"44","CR_97_2_S30_PE_cut.fastq","105490","63600","60.29"
"45","DIA_1_S79_PE_cut.fastq","104619","63903","61.08"
"46","DIA_2_S88_PE_cut.fastq","83524","50932","60.98"
"47","FCW_1_S3_PE_cut.fastq","107785","66144","61.37"
"48","FCW_2_S4_PE_cut.fastq","94489","57990","61.37"
"49","HAV_1_S71_PE_cut.fastq","74903","45728","61.05"
"50","HAV_2_S72_PE_cut.fastq","151392","90274","59.63"
"51","HER_1_S93_PE_cut.fastq","153627","87726","57.1"
"52","HER_2_S62_PE_cut.fastq","107189","65418","61.03"
"53","KAN_1_S67_PE_cut.fastq","108567","65189","60.04"
"54","KAN_2_S68_PE_cut.fastq","120199","71648","59.61"
"55","LCR_1_S57_PE_cut.fastq","117739","72188","61.31"
"56","LCR_2_S58_PE_cut.fastq","85356","52515","61.52"
"57","LF_1_S73_PE_cut.fastq","125839","60122","47.78"
"58","LF_2_S74_PE_cut.fastq","156474","79739","50.96"
"59","MAT_1_S69_PE_cut.fastq","85788","52454","61.14"
"60","MAT_2_S70_PE_cut.fastq","83436","51144","61.3"
"61","NANK_1_S55_PE_cut.fastq","69800","42529","60.93"
"62","NANK_2_S56_PE_cut.fastq","85042","52003","61.15"
"63","neg_Control_S89_PE_cut.fastq","179071","5903","3.3"
"64","pos_Control_S87_PE_cut.fastq","70363","42600","60.54"
"65","RM_20_1_S19_PE_cut.fastq","80841","49314","61"
"66","RM_20_2_S20_PE_cut.fastq","68531","41876","61.11"
"67","RM_88_1_S21_PE_cut.fastq","60630","37061","61.13"
"68","RM_88_2_S22_PE_cut.fastq","93823","56977","60.73"
"69","SC_1_S13_PE_cut.fastq","113284","69193","61.08"
"70","SC_2_S14_PE_cut.fastq","104046","63514","61.04"
"71","SCGC_1_S75_PE_cut.fastq","83070","50819","61.18"
"72","SCGC_2_S76_PE_cut.fastq","95113","57939","60.92"
"73","SHI_1_S63_PE_cut.fastq","101476","62542","61.63"
"74","SHI_2_S64_PE_cut.fastq","103786","63975","61.64"
"75","SPE_1_S84_PE_cut.fastq","87108","52873","60.7"
"76","SPE_2_S85_PE_cut.fastq","114204","68646","60.11"
"77","TAP_1_S65_PE_cut.fastq","72468","44348","61.2"
"78","TAP_2_S66_PE_cut.fastq","74764","45603","61"
"79","TCDW_1_S7_PE_cut.fastq","90899","55859","61.45"
"80","TCDW_2_S8_PE_cut.fastq","111768","68966","61.7"
"81","TRA_1_S82_PE_cut.fastq","101729","60394","59.37"
"82","TRA_2_S83_PE_cut.fastq","112397","66076","58.79"
"83","TS_1_S77_PE_cut.fastq","146326","86953","59.42"
"84","TS_2_S78_PE_cut.fastq","100778","60235","59.77"
"85","Undetermined_S0_PE_cut.fastq","640477","95034","14.84"
"86","VRBF_1_S9_PE_cut.fastq","93360","57193","61.26"
"87","VRBF_2_S10_PE_cut.fastq","84643","52044","61.49"
"88","VRSB_1_S5_PE_cut.fastq","113064","69180","61.19"
