"","Sample","Sequ_count_in","Sequ_count_out","pct_pass"
"1","BA_1_S92_PE_cut_minmax.fastq","108023","108014","99.99"
"2","BA_2_S61_PE_cut_minmax.fastq","46444","46435","99.98"
"3","BOU_1_S94_PE_cut_minmax.fastq","75084","75058","99.97"
"4","BOU_2_S80_PE_cut_minmax.fastq","58952","56992","96.68"
"5","CHILDS_1_S11_PE_cut_minmax.fastq","62349","62324","99.96"
"6","CHILDS_2_S12_PE_cut_minmax.fastq","50690","50630","99.88"
"7","CLR_1_S59_PE_cut_minmax.fastq","12061","6000","49.75"
"8","CLR_2_S60_PE_cut_minmax.fastq","1728","1562","90.39"
"9","COL_1_S86_PE_cut_minmax.fastq","46758","45059","96.37"
"10","COL_2_S81_PE_cut_minmax.fastq","34118","31916","93.55"
"11","CR_109_1_S31_PE_cut_minmax.fastq","51287","51264","99.96"
"12","CR_109_2_S32_PE_cut_minmax.fastq","57223","56927","99.48"
"13","CR_134_1_S33_PE_cut_minmax.fastq","59284","59158","99.79"
"14","CR_134_2_S34_PE_cut_minmax.fastq","43872","42184","96.15"
"15","CR_143_1_S35_PE_cut_minmax.fastq","63131","63122","99.99"
"16","CR_143_2_S36_PE_cut_minmax.fastq","48581","48135","99.08"
"17","CR_148_1_S37_PE_cut_minmax.fastq","51834","51778","99.89"
"18","CR_148_2_S38_PE_cut_minmax.fastq","63307","63291","99.97"
"19","CR_157_1_S39_PE_cut_minmax.fastq","58417","58300","99.8"
"20","CR_157_2_S40_PE_cut_minmax.fastq","57591","55947","97.15"
"21","CR_180_1_S41_PE_cut_minmax.fastq","57238","55323","96.65"
"22","CR_180_2_S42_PE_cut_minmax.fastq","7820","7793","99.65"
"23","CR_204_1_S43_PE_cut_minmax.fastq","63672","63602","99.89"
"24","CR_204_2_S44_PE_cut_minmax.fastq","49976","49818","99.68"
"25","CR_216_1_S45_PE_cut_minmax.fastq",NA,NA,NA
"26","CR_216_2_S46_PE_cut_minmax.fastq","115744","110357","95.35"
"27","CR_226_1_S47_PE_cut_minmax.fastq","52242","50006","95.72"
"28","CR_226_2_S48_PE_cut_minmax.fastq","83215","69379","83.37"
"29","CR_229_1_S49_PE_cut_minmax.fastq","39913","38671","96.89"
"30","CR_229_2_S50_PE_cut_minmax.fastq","60851","33548","55.13"
"31","CR_246_1_S51_PE_cut_minmax.fastq","59956","57511","95.92"
"32","CR_246_2_S52_PE_cut_minmax.fastq","44620","36750","82.36"
"33","CR_275_1_S53_PE_cut_minmax.fastq","49602","36997","74.59"
"34","CR_275_2_S54_PE_cut_minmax.fastq","75492","52993","70.2"
"35","CR_52_1_S23_PE_cut_minmax.fastq","49728","49688","99.92"
"36","CR_52_2_S24_PE_cut_minmax.fastq","57975","57905","99.88"
"37","CR_61_1_S90_PE_cut_minmax.fastq","81414","81034","99.53"
"38","CR_61_2_S25_PE_cut_minmax.fastq","43304","43272","99.93"
"39","CR_84_1_S91_PE_cut_minmax.fastq","95518","95285","99.76"
"40","CR_84_2_S26_PE_cut_minmax.fastq","56550","41210","72.87"
"41","CR_94_1_S27_PE_cut_minmax.fastq","54661","54613","99.91"
"42","CR_94_2_S28_PE_cut_minmax.fastq","90059","89934","99.86"
"43","CR_97_1_S29_PE_cut_minmax.fastq",NA,NA,NA
"44","CR_97_2_S30_PE_cut_minmax.fastq","63600","62947","98.97"
"45","DIA_1_S79_PE_cut_minmax.fastq","63903","63486","99.35"
"46","DIA_2_S88_PE_cut_minmax.fastq","50932","50856","99.85"
"47","FCW_1_S3_PE_cut_minmax.fastq","66144","66120","99.96"
"48","FCW_2_S4_PE_cut_minmax.fastq","57990","57973","99.97"
"49","HAV_1_S71_PE_cut_minmax.fastq","45728","45270","99"
"50","HAV_2_S72_PE_cut_minmax.fastq","90274","82618","91.52"
"51","HER_1_S93_PE_cut_minmax.fastq","87726","87713","99.99"
"52","HER_2_S62_PE_cut_minmax.fastq","65418","64631","98.8"
"53","KAN_1_S67_PE_cut_minmax.fastq","65189","62741","96.24"
"54","KAN_2_S68_PE_cut_minmax.fastq","71648","66377","92.64"
"55","LCR_1_S57_PE_cut_minmax.fastq","72188","71352","98.84"
"56","LCR_2_S58_PE_cut_minmax.fastq","52515","52193","99.39"
"57","LF_1_S73_PE_cut_minmax.fastq","60122","37552","62.46"
"58","LF_2_S74_PE_cut_minmax.fastq","79739","29303","36.75"
"59","MAT_1_S69_PE_cut_minmax.fastq","52454","52028","99.19"
"60","MAT_2_S70_PE_cut_minmax.fastq","51144","50641","99.02"
"61","NANK_1_S55_PE_cut_minmax.fastq","42529","42477","99.88"
"62","NANK_2_S56_PE_cut_minmax.fastq","52003","51963","99.92"
"63","neg_Control_S89_PE_cut_minmax.fastq","5903","2323","39.35"
"64","pos_Control_S87_PE_cut_minmax.fastq","42600","42505","99.78"
"65","RM_20_1_S19_PE_cut_minmax.fastq","49314","49157","99.68"
"66","RM_20_2_S20_PE_cut_minmax.fastq","41876","41668","99.5"
"67","RM_88_1_S21_PE_cut_minmax.fastq","37061","37053","99.98"
"68","RM_88_2_S22_PE_cut_minmax.fastq","56977","56738","99.58"
"69","SC_1_S13_PE_cut_minmax.fastq","69193","69187","99.99"
"70","SC_2_S14_PE_cut_minmax.fastq","63514","63484","99.95"
"71","SCGC_1_S75_PE_cut_minmax.fastq","50819","50519","99.41"
"72","SCGC_2_S76_PE_cut_minmax.fastq","57939","57636","99.48"
"73","SHI_1_S63_PE_cut_minmax.fastq","62542","62411","99.79"
"74","SHI_2_S64_PE_cut_minmax.fastq","63975","63943","99.95"
"75","SPE_1_S84_PE_cut_minmax.fastq","52873","52620","99.52"
"76","SPE_2_S85_PE_cut_minmax.fastq","68646","67576","98.44"
"77","TAP_1_S65_PE_cut_minmax.fastq","44348","44171","99.6"
"78","TAP_2_S66_PE_cut_minmax.fastq","45603","45143","98.99"
"79","TCDW_1_S7_PE_cut_minmax.fastq","55859","55854","99.99"
