"","Sample","Sequ_count_in","Sequ_count_out","pct_pass"
"1","BA_1_S92","108014","106855","98.93"
"2","BA_2_S61","46435","46049","99.17"
"3","BOU_1_S94","75058","74270","98.95"
"4","BOU_2_S80","56992","56385","98.93"
"5","CHILDS_1_S11","62324","61633","98.89"
"6","CHILDS_2_S12","50630","49981","98.72"
"7","CLR_1_S59","6000","5956","99.27"
"8","CLR_2_S60","1562","1545","98.91"
"9","COL_1_S86","45059","44526","98.82"
"10","COL_2_S81","31916","31525","98.77"
"11","CR_109_1_S31","51264","50872","99.24"
"12","CR_109_2_S32","56927","56443","99.15"
"13","CR_134_1_S33","59158","58671","99.18"
"14","CR_134_2_S34","42184","41795","99.08"
"15","CR_143_1_S35","63122","62631","99.22"
"16","CR_143_2_S36","48135","47636","98.96"
"17","CR_148_1_S37","51778","51335","99.14"
"18","CR_148_2_S38","63291","62869","99.33"
"19","CR_157_1_S39","58300","57689","98.95"
"20","CR_157_2_S40","55947","55357","98.95"
"21","CR_180_1_S41","55323","54892","99.22"
"22","CR_180_2_S42","7793","7728","99.17"
"23","CR_204_1_S43","63602","63114","99.23"
"24","CR_204_2_S44","49818","49346","99.05"
"25","CR_216_1_S45","0","0","NaN"
"26","CR_216_2_S46","110357","109383","99.12"
"27","CR_226_1_S47","50006","49575","99.14"
"28","CR_226_2_S48","69379","68761","99.11"
"29","CR_229_1_S49","38671","38329","99.12"
"30","CR_229_2_S50","33548","33245","99.1"
"31","CR_246_1_S51","57511","56668","98.53"
"32","CR_246_2_S52","36750","36317","98.82"
"33","CR_275_1_S53","36997","36662","99.09"
"34","CR_275_2_S54","52993","52507","99.08"
"35","CR_52_1_S23","49688","49178","98.97"
"36","CR_52_2_S24","57905","57414","99.15"
"37","CR_61_1_S90","81034","80449","99.28"
"38","CR_61_2_S25","43272","42903","99.15"
"39","CR_84_1_S91","95285","94403","99.07"
"40","CR_84_2_S26","41210","40868","99.17"
"41","CR_94_1_S27","54613","54219","99.28"
"42","CR_94_2_S28","89934","88936","98.89"
"43","CR_97_1_S29","0","0","NaN"
"44","CR_97_2_S30","62947","62348","99.05"
"45","DIA_1_S79","63486","62788","98.9"
"46","DIA_2_S88","50856","50316","98.94"
"47","FCW_1_S3","66120","65350","98.84"
"48","FCW_2_S4","57973","57380","98.98"
"49","HAV_1_S71","45270","44596","98.51"
"50","HAV_2_S72","82618","81640","98.82"
"51","HER_1_S93","87713","87006","99.19"
"52","HER_2_S62","64631","64000","99.02"
"53","KAN_1_S67","62741","62030","98.87"
"54","KAN_2_S68","66377","65665","98.93"
"55","LCR_1_S57","71352","70722","99.12"
"56","LCR_2_S58","52193","51705","99.07"
"57","LF_1_S73","37552","37140","98.9"
"58","LF_2_S74","29303","28963","98.84"
"59","MAT_1_S69","52028","51483","98.95"
"60","MAT_2_S70","50641","50078","98.89"
"61","NANK_1_S55","42477","42010","98.9"
"62","NANK_2_S56","51963","51427","98.97"
"63","neg_Control_S89","2323","2302","99.1"
"64","pos_Control_S87","42505","42145","99.15"
"65","RM_20_1_S19","49157","48448","98.56"
"66","RM_20_2_S20","41668","41188","98.85"
"67","RM_88_1_S21","37053","36753","99.19"
"68","RM_88_2_S22","56738","56196","99.04"
"69","SC_1_S13","69187","68374","98.82"
"70","SC_2_S14","63484","62779","98.89"
"71","SCGC_1_S75","50519","50001","98.97"
"72","SCGC_2_S76","57636","57048","98.98"
"73","SHI_1_S63","62411","61833","99.07"
"74","SHI_2_S64","63943","63258","98.93"
"75","SPE_1_S84","52620","52217","99.23"
"76","SPE_2_S85","67576","66963","99.09"
"77","TAP_1_S65","44171","43784","99.12"
"78","TAP_2_S66","45143","44599","98.79"
"79","TCDW_1_S7","55854","55326","99.05"
"80","TCDW_2_S8","68938","68173","98.89"
"81","TRA_1_S82","58573","57813","98.7"
"82","TRA_2_S83","64470","63695","98.8"
"83","TS_1_S77","83348","82426","98.89"
"84","TS_2_S78","59577","58852","98.78"
"85","Undetermined_S0","91403","79764","87.27"
"86","VRBF_1_S9","56990","56403","98.97"
"87","VRBF_2_S10","51573","50924","98.74"
"88","VRSB_1_S5","68958","68151","98.83"
"89","VRSB_2_S6","56286","55879","99.28"
"90","WBC_1_S17","69495","68863","99.09"
"91","WBC_2_S18","52066","51516","98.94"
"92","WCC_1_S1","74112","73336","98.95"
"93","WCC_2_S2","76127","75389","99.03"
"94","WFOC_1_S15","71137","70249","98.75"
"95","WFOC_2_S16","67087","66071","98.49"
