"","Sample","Sequ_count_in","Sequ_count_out","pct_pass"
"1","BA_1_S92","108014","101554","94.02"
"2","BA_2_S61","46435","43796","94.32"
"3","BOU_1_S94","75058","69729","92.9"
"4","BOU_2_S80","56992","53199","93.34"
"5","CHILDS_1_S11","62324","57843","92.81"
"6","CHILDS_2_S12","50630","47262","93.35"
"7","CLR_1_S59","6000","5639","93.98"
"8","CLR_2_S60","1562","1473","94.3"
"9","COL_1_S86","45059","42081","93.39"
"10","COL_2_S81","31916","29678","92.99"
"11","CR_109_1_S31","51264","48493","94.59"
"12","CR_109_2_S32","56927","53665","94.27"
"13","CR_134_1_S33","59158","55843","94.4"
"14","CR_134_2_S34","42184","39582","93.83"
"15","CR_143_1_S35","63122","59388","94.08"
"16","CR_143_2_S36","48135","45154","93.81"
"17","CR_148_1_S37","51778","48679","94.01"
"18","CR_148_2_S38","63291","59785","94.46"
"19","CR_157_1_S39","58300","54233","93.02"
"20","CR_157_2_S40","55947","52398","93.66"
"21","CR_180_1_S41","55323","52176","94.31"
"22","CR_180_2_S42","7793","7344","94.24"
"23","CR_204_1_S43","63602","60273","94.77"
"24","CR_204_2_S44","49818","46881","94.1"
"25","CR_216_1_S45","0","0","NaN"
"26","CR_216_2_S46","110357","103927","94.17"
"27","CR_226_1_S47","50006","47087","94.16"
"28","CR_226_2_S48","69379","65230","94.02"
"29","CR_229_1_S49","38671","36470","94.31"
"30","CR_229_2_S50","33548","31593","94.17"
"31","CR_246_1_S51","57511","53948","93.8"
"32","CR_246_2_S52","36750","34421","93.66"
"33","CR_275_1_S53","36997","34807","94.08"
"34","CR_275_2_S54","52993","49718","93.82"
"35","CR_52_1_S23","49688","46613","93.81"
"36","CR_52_2_S24","57905","54060","93.36"
"37","CR_61_1_S90","81034","76599","94.53"
"38","CR_61_2_S25","43272","40900","94.52"
"39","CR_84_1_S91","95285","89358","93.78"
"40","CR_84_2_S26","41210","38942","94.5"
"41","CR_94_1_S27","54613","51249","93.84"
"42","CR_94_2_S28","89934","83908","93.3"
"43","CR_97_1_S29","0","0","NaN"
"44","CR_97_2_S30","62947","58997","93.72"
"45","DIA_1_S79","63486","59407","93.57"
"46","DIA_2_S88","50856","47583","93.56"
"47","FCW_1_S3","66120","62383","94.35"
"48","FCW_2_S4","57973","54747","94.44"
"49","HAV_1_S71","45270","41736","92.19"
"50","HAV_2_S72","82618","77050","93.26"
"51","HER_1_S93","87713","83100","94.74"
"52","HER_2_S62","64631","60759","94.01"
"53","KAN_1_S67","62741","58643","93.47"
"54","KAN_2_S68","66377","62083","93.53"
"55","LCR_1_S57","71352","66908","93.77"
"56","LCR_2_S58","52193","49159","94.19"
"57","LF_1_S73","37552","35170","93.66"
"58","LF_2_S74","29303","27353","93.35"
"59","MAT_1_S69","52028","48736","93.67"
"60","MAT_2_S70","50641","47223","93.25"
"61","NANK_1_S55","42477","39640","93.32"
"62","NANK_2_S56","51963","48598","93.52"
"63","neg_Control_S89","2323","2179","93.8"
"64","pos_Control_S87","42505","40169","94.5"
"65","RM_20_1_S19","49157","45647","92.86"
"66","RM_20_2_S20","41668","38849","93.23"
"67","RM_88_1_S21","37053","34842","94.03"
"68","RM_88_2_S22","56738","53219","93.8"
"69","SC_1_S13","69187","64678","93.48"
"70","SC_2_S14","63484","59054","93.02"
"71","SCGC_1_S75","50519","47261","93.55"
"72","SCGC_2_S76","57636","53852","93.43"
"73","SHI_1_S63","62411","58541","93.8"
"74","SHI_2_S64","63943","60077","93.95"
"75","SPE_1_S84","52620","49702","94.45"
"76","SPE_2_S85","67576","63700","94.26"
"77","TAP_1_S65","44171","41675","94.35"
"78","TAP_2_S66","45143","42198","93.48"
"79","TCDW_1_S7","55854","52586","94.15"
"80","TCDW_2_S8","68938","64676","93.82"
"81","TRA_1_S82","58573","54979","93.86"
"82","TRA_2_S83","64470","60428","93.73"
"83","TS_1_S77","83348","77959","93.53"
"84","TS_2_S78","59577","55635","93.38"
"85","Undetermined_S0","91403","73035","79.9"
"86","VRBF_1_S9","56990","53301","93.53"
"87","VRBF_2_S10","51573","48163","93.39"
"88","VRSB_1_S5","68958","64503","93.54"
"89","VRSB_2_S6","56286","53003","94.17"
"90","WBC_1_S17","69495","65231","93.86"
"91","WBC_2_S18","52066","48658","93.45"
"92","WCC_1_S1","74112","69577","93.88"
"93","WCC_2_S2","76127","71323","93.69"
"94","WFOC_1_S15","71137","66277","93.17"
"95","WFOC_2_S16","67087","62162","92.66"
