"","ID","Abundance","pct_pass"
"1","BA_1_S92_PE",104562,"85.91"
"2","BA_2_S61_PE",45378,"88.04"
"3","BOU_1_S94_PE",72448,"87.22"
"4","BOU_2_S80_PE",55839,"92.97"
"5","CHILDS_1_S11_PE",60967,"90.84"
"6","CHILDS_2_S12_PE",49050,"89.64"
"7","CLR_1_S59_PE",5923,"98.00"
"8","CLR_2_S60_PE",1530,"97.95"
"9","COL_1_S86_PE",44034,"90.16"
"10","COL_2_S81_PE",31435,"97.66"
"11","CR_109_1_S31_PE",50039,"89.09"
"12","CR_109_2_S32_PE",55399,"89.17"
"13","CR_134_1_S33_PE",58203,"92.56"
"14","CR_134_2_S34_PE",41356,"93.49"
"15","CR_143_1_S35_PE",61754,"89.67"
"16","CR_143_2_S36_PE",47032,"91.61"
"17","CR_148_1_S37_PE",50442,"88.85"
"18","CR_148_2_S38_PE",62379,"92.77"
"19","CR_157_1_S39_PE",56803,"89.54"
"20","CR_157_2_S40_PE",54370,"89.38"
"21","CR_180_1_S41_PE",53924,"90.55"
"22","CR_180_2_S42_PE",7668,"95.71"
"23","CR_204_1_S43_PE",62451,"90.61"
"24","CR_204_2_S44_PE",48645,"91.50"
"25","CR_216_1_S45",0,"empty fasta file"
"26","CR_216_2_S46_PE",107327,"88.57"
"27","CR_226_1_S47_PE",48831,"90.95"
"28","CR_226_2_S48_PE",67352,"88.03"
"29","CR_229_1_S49_PE",37987,"91.56"
"30","CR_229_2_S50_PE",33037,"95.82"
"31","CR_246_1_S51_PE",55581,"89.85"
"32","CR_246_2_S52_PE",35784,"93.36"
"33","CR_275_1_S53_PE",36288,"94.39"
"34","CR_275_2_S54_PE",51615,"91.37"
"35","CR_52_1_S23_PE",48338,"89.82"
"36","CR_52_2_S24_PE",56162,"87.72"
"37","CR_61_1_S90_PE",78045,"84.84"
"38","CR_61_2_S25_PE",42435,"91.96"
"39","CR_84_1_S91_PE",92519,"88.44"
"40","CR_84_2_S26_PE",40303,"91.92"
"41","CR_94_1_S27_PE",53545,"91.03"
"42","CR_94_2_S28_PE",88369,"93.65"
"43","CR_97_1_S29",0,"empty fasta file"
"44","CR_97_2_S30_PE",61379,"90.62"
"45","DIA_1_S79_PE",60452,"85.20"
"46","DIA_2_S88_PE",48609,"84.35"
"47","FCW_1_S3_PE",64077,"88.67"
"48","FCW_2_S4_PE",56079,"88.06"
"49","HAV_1_S71_PE",44301,"94.27"
"50","HAV_2_S72_PE",79695,"88.73"
"51","HER_1_S93_PE",85700,"89.61"
"52","HER_2_S62_PE",63044,"89.87"
"53","KAN_1_S67_PE",60563,"87.66"
"54","KAN_2_S68_PE",63893,"86.71"
"55","LCR_1_S57_PE",69012,"85.87"
"56","LCR_2_S58_PE",50662,"88.04"
"57","LF_1_S73_PE",36558,"92.57"
"58","LF_2_S74_PE",28152,"91.17"
"59","MAT_1_S69_PE",50232,"88.89"
"60","MAT_2_S70_PE",49146,"89.10"
"61","NANK_1_S55_PE",41071,"86.89"
"62","NANK_2_S56_PE",50019,"85.01"
"63","neg_Control_S89_PE",2280,"97.69"
"64","pos_Control_S87_PE",41208,"83.20"
"65","RM_20_1_S19_PE",47821,"91.78"
"66","RM_20_2_S20_PE",40676,"92.57"
"67","RM_88_1_S21_PE",36208,"90.32"
"68","RM_88_2_S22_PE",55324,"90.53"
"69","SC_1_S13_PE",67030,"88.39"
"70","SC_2_S14_PE",61185,"86.77"
"71","SCGC_1_S75_PE",49196,"90.26"
"72","SCGC_2_S76_PE",56103,"89.72"
"73","SHI_1_S63_PE",60067,"84.82"
"74","SHI_2_S64_PE",61465,"84.16"
"75","SPE_1_S84_PE",51458,"89.00"
"76","SPE_2_S85_PE",65667,"87.66"
"77","TAP_1_S65_PE",43092,"88.92"
"78","TAP_2_S66_PE",43654,"88.85"
"79","TCDW_1_S7_PE",53112,"83.02"
"80","TCDW_2_S8_PE",65023,"80.45"
"81","TRA_1_S82_PE",56507,"87.66"
"82","TRA_2_S83_PE",62093,"87.37"
"83","TS_1_S77_PE",80054,"86.42"
"84","TS_2_S78_PE",57506,"88.98"
"85","Undetermined_S0_PE",77959,"91.20"
"86","VRBF_1_S9_PE",54763,"88.15"
"87","VRBF_2_S10_PE",49532,"89.38"
"88","VRSB_1_S5_PE",66059,"88.13"
"89","VRSB_2_S6_PE",54805,"87.74"
"90","WBC_1_S17_PE",65644,"82.62"
"91","WBC_2_S18_PE",49249,"85.20"
"92","WCC_1_S1_PE",70222,"81.25"
"93","WCC_2_S2_PE",72162,"83.06"
"94","WFOC_1_S15_PE",68420,"87.07"
"95","WFOC_2_S16_PE",64380,"87.35"
