"","ID","sequ_in","reads_mapped","pct_pass"
"1","BA_1_S92",106855,104562,97.85
"2","BA_2_S61",46049,45378,98.54
"3","BOU_1_S94",74270,72448,97.55
"4","BOU_2_S80",56385,55839,99.03
"5","CLR_1_S59",5956,5923,99.45
"6","CLR_2_S60",1545,1530,99.03
"7","COL_1_S86",44526,44034,98.9
"8","COL_2_S81",31525,31435,99.71
"9","CR_109_1_S31",50872,50039,98.36
"10","CR_109_2_S32",56443,55399,98.15
"11","CR_134_1_S33",58671,58203,99.2
"12","CR_134_2_S34",41795,41356,98.95
"13","CR_143_1_S35",62631,61754,98.6
"14","CR_143_2_S36",47636,47032,98.73
"15","CR_148_1_S37",51335,50442,98.26
"16","CR_148_2_S38",62869,62379,99.22
"17","CR_157_1_S39",57689,56803,98.46
"18","CR_157_2_S40",55357,54370,98.22
"19","CR_180_1_S41",54892,53924,98.24
"20","CR_180_2_S42",7728,7668,99.22
"21","CR_204_1_S43",63114,62451,98.95
"22","CR_204_2_S44",49346,48645,98.58
"23","CR_216_1_S45",0,0,0
"24","CR_216_2_S46",109383,107327,98.12
"25","CR_226_1_S47",49575,48831,98.5
"26","CR_226_2_S48",68761,67352,97.95
"27","CR_229_1_S49",38329,37987,99.11
"28","CR_229_2_S50",33245,33037,99.37
"29","CR_246_1_S51",56668,55581,98.08
"30","CR_246_2_S52",36317,35784,98.53
"31","CR_275_1_S53",36662,36288,98.98
"32","CR_275_2_S54",52507,51615,98.3
"33","CR_52_1_S23",49178,48338,98.29
"34","CR_52_2_S24",57414,56162,97.82
"35","CR_61_1_S90",80449,78045,97.01
"36","CR_61_2_S25",42903,42435,98.91
"37","CR_84_1_S91",94403,92519,98
"38","CR_84_2_S26",40868,40303,98.62
"39","CR_94_1_S27",54219,53545,98.76
"40","CR_94_2_S28",88936,88369,99.36
"41","CR_97_1_S29",0,0,0
"42","CR_97_2_S30",62348,61379,98.45
"43","DIA_1_S79",62788,60452,96.28
"44","DIA_2_S88",50316,48609,96.61
"45","HAV_1_S71",44596,44301,99.34
"46","HAV_2_S72",81640,79695,97.62
"47","HER_1_S93",87006,85700,98.5
"48","HER_2_S62",64000,63044,98.51
"49","KAN_1_S67",62030,60563,97.64
"50","KAN_2_S68",65665,63893,97.3
"51","LCR_1_S57",70722,69012,97.58
"52","LCR_2_S58",51705,50662,97.98
"53","LF_1_S73",37140,36558,98.43
"54","LF_2_S74",28963,28152,97.2
"55","MAT_1_S69",51483,50232,97.57
"56","MAT_2_S70",50078,49146,98.14
"57","NANK_1_S55",42010,41071,97.76
"58","NANK_2_S56",51427,50019,97.26
"59","RM_20_1_S19",48448,47821,98.71
"60","RM_20_2_S20",41188,40676,98.76
"61","RM_88_1_S21",36753,36208,98.52
"62","RM_88_2_S22",56196,55324,98.45
"63","SC_1_S13",68374,67030,98.03
"64","SCGC_1_S75",50001,49196,98.39
"65","SHI_1_S63",61833,60067,97.14
"66","SHI_2_S64",63258,61465,97.17
"67","SPE_1_S84",52217,51458,98.55
"68","SPE_2_S85",66963,65667,98.06
"69","TAP_1_S65",43784,43092,98.42
"70","TAP_2_S66",44599,43654,97.88
"71","TRA_1_S82",57813,56507,97.74
"72","TRA_2_S83",63695,62093,97.48
"73","TS_1_S77",82426,80054,97.12
"74","TS_2_S78",58852,57506,97.71
