"","ID","sequ_in","reads_mapped","pct_pass"
"1","CHILDS_1_S11",61633,60967,98.92
"2","CHILDS_2_S12",49981,49050,98.14
"3","FCW_1_S3",65350,64077,98.05
"4","FCW_2_S4",57380,56079,97.73
"5","SC_2_S14",62779,61185,97.46
"6","SCGC_2_S76",57048,56103,98.34
"7","TCDW_1_S7",55326,53112,96
"8","TCDW_2_S8",68173,65023,95.38
"9","VRBF_1_S9",56403,54763,97.09
"10","VRBF_2_S10",50924,49532,97.27
"11","VRSB_1_S5",68151,66059,96.93
"12","VRSB_2_S6",55879,54805,98.08
"13","WBC_1_S17",68863,65644,95.33
"14","WBC_2_S18",51516,49249,95.6
"15","WCC_1_S1",73336,70222,95.75
"16","WCC_2_S2",75389,72162,95.72
"17","WFOC_1_S15",70249,68420,97.4
"18","WFOC_2_S16",66071,64380,97.44
