ID,Phylum,Class,Order,Family,Genus,Species,Similarity,Status
>OTU_1,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,,100,Published
>OTU_2,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,,100,Published
>OTU_3,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,100,Published
>OTU_4,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Published
>OTU_5,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,chromatinum,100,Published
>OTU_6,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,claripennis,100,Published
>OTU_8,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,trifascia,100,Published
>OTU_9,Arthropoda,Insecta,Diptera,Chironomidae,Rheocricotopus,,97.04,Published
>OTU_10,Arthropoda,Insecta,Diptera,,,,99.26,Private
>OTU_11,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,,100,Published
>OTU_12,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,,100,Published
>OTU_13,Arthropoda,Insecta,Diptera,Chironomidae,,,99.26,Early-Release
>OTU_14,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,punctipennis,100,Published
>OTU_15,Arthropoda,Insecta,Diptera,Chironomidae,,,94.7,Private
>OTU_16,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,100,Early-Release
>OTU_17,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Published
>OTU_18,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Private
>OTU_19,Arthropoda,Insecta,Coleoptera,,,,88.15,Published
>OTU_20,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,,97.78,Published
>OTU_21,Arthropoda,Insecta,Diptera,Empididae,Neoplasta,megorchis,100,Published
>OTU_22,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,bicinctus grp.,100,Published
>OTU_23,Arthropoda,Insecta,Diptera,Chironomidae,Rheotanytarsus,,98.52,Published
>OTU_24,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,pulex,100,Published
>OTU_25,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,,97.04,Published
>OTU_26,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Published
>OTU_27,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,saxosum,98.52,Published
>OTU_28,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,,100,Published
>OTU_29,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,100,Published
>OTU_30,Rhodophyta,Florideophyceae,,,,,82.93,Private
>OTU_31,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypridopsis,vidua,99.26,Published
>OTU_32,Arthropoda,Insecta,Diptera,Stratiomyidae,,,91.11,Published
>OTU_33,Arthropoda,Insecta,Diptera,Chironomidae,,,94.81,Published
>OTU_34,Arthropoda,Insecta,Coleoptera,Elmidae,Optioservus,divergens,100,Private
>OTU_35,Arthropoda,Insecta,Diptera,Chironomidae,,,92.59,Private
>OTU_36,Arthropoda,Insecta,Megaloptera,Corydalidae,,,94.07,Published
>OTU_37,Arthropoda,Insecta,Diptera,Chironomidae,,,92.59,Published
>OTU_38,Arthropoda,Insecta,Diptera,Chironomidae,,,92.59,Published
>OTU_39,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,92.59,Private
>OTU_40,Arthropoda,Insecta,Diptera,Chironomidae,Cladotanytarsus,,100,Published
>OTU_41,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,,99.26,Published
>OTU_42,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,,98.52,Published
>OTU_43,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,95,Private
>OTU_44,Arthropoda,Ostracoda,Podocopida,Podocopida_incertae_sedis,PodocopidGEN,BIOUG024,99.24,Published
>OTU_45,Arthropoda,Insecta,Diptera,Chironomidae,,,97.78,Private
>OTU_46,Arthropoda,Insecta,Diptera,Chironomidae,,,97.78,Private
>OTU_47,Arthropoda,Insecta,Diptera,Chironomidae,Cardiocladius,,96.3,Published
>OTU_48,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,93.33,Published
>OTU_49,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,,97.78,Private
>OTU_50,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,,97.78,Published
>OTU_51,Arthropoda,Insecta,Diptera,Chironomidae,,,95.56,Published
>OTU_52,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes,,95.56,Published
>OTU_53,Arthropoda,Insecta,Diptera,Chironomidae,,,100,Published
